CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
4970;COND ELSEVE 200ML GLYCOLIC GLOSS;1;10;25,99;25,99;18,53;0;0;0;0;0;0;0;0;0;18,53;0;0;0;0;0;25,99;7,46;28,7;28;25,74
4971;COND ELSEVE 200ML HIALURONICO;1;8;25,99;25,99;18,53;0;0;0;0;0;0;0;0;0;18,53;0;0;0;0;0;25,99;7,46;28,7;28;25,74
4974;COND ELSEVE 200ML LISO SONHOS E;1;10;25,99;25,99;18,53;0;0;0;0;0;0;0;0;0;18,4654;0;0;0;0;0;25,99;7,5246;28,95;28;25,65
4976;COND ELSEVE 200ML PURE HIALURONIC;1;10;25,99;25,99;18,53;0;0;0;0;0;0;0;0;0;18,3683;0;0;0;0;0;25,99;7,6217;29,33;28;25,51
4988;COND JAY LUC 1L NEUTRO;1;15;17,49;17,49;12,5783;,3931;3,4727;0;0;0;0;0;0;0;12,4996;0;0;0;0;0;17,49;4,9904;28,53;28;17,36
4989;COND JOHNSON BABY 200ML CABELO CLAROS;1;10;27,99;27,99;18,5271;0;0;0;0;0;0;0;0;0;18,4723;0;0;0;0;0;27,99;9,5177;34;34;27,99
4991;COND JOHNSON BABY 200ML REG;1;7;27,99;27,99;18,54;0;0;0;0;0;0;0;0;0;18,5068;0;0;0;0;0;27,99;9,4832;33,88;34;28,04
4993;COND MONANGE 325ML CACHOS QUE TAL;1;9;14,18;14,18;10,0717;0;,0561;0;0;0;0;0;0;0;9,8559;0;0;0;0;0;14,18;4,3241;30,49;28;13,69
4994;COND MONANGE 325ML HIDRATA C PODER;1;8;14,18;14,18;9,6049;0;0;0;0;0;0;0;0;0;9,5026;0;0;0;0;0;14,18;4,6774;32,99;28;13,2
4995;COND MONANGE 325ML LISOS TE QUERO;1;9;14,18;14,18;10,0717;0;,3612;,0003;0;0;0;0;0;0;9,299;0;0;0;0;0;14,18;4,881;34,42;28;12,92
5001;COND PALMOLIVE 350ML ACIDO HIALURONI;1;9;13,59;13,59;9,78;0;0;0;0;0;0;0;0;0;9,4407;0;0;0;0;0;13,59;4,1493;30,53;28;13,11
5003;COND PALMOLIVE 350ML CERAMIDAS FORCE;1;12;13,59;13,59;9,78;0;0;0;0;0;0;0;0;0;9,4602;0;0;0;0;0;13,59;4,1298;30,39;28;13,14
5005;COND PALMOLIVE 350ML CUIDADO ABSOLUT;1;10;13,59;13,59;9,6992;0;0;0;0;0;0;0;0;0;8,9367;0;0;0;0;0;13,59;4,6533;34,24;28;12,41
5006;COND PALMOLIVE 350ML ILUMINADOR PTO;1;1;13,59;13,59;8,56;0;0;0;0;0;0;0;0;0;8,56;0;0;0;0;0;13,59;5,03;37,01;28;11,89
5007;COND PALMOLIVE KIDS 350ML MINIONS;1;4;21,42;21,42;13,8;0;0;0;0;0;0;0;0;0;13,8;0;0;0;0;0;21,42;7,62;35,57;34;20,91
5008;COND PALMOLIVE 350ML KIDS NAT CACHEADOS;1;3;21,42;21,42;13,8;0;0;0;0;0;0;0;0;0;13,8;0;0;0;0;0;21,42;7,62;35,57;34;20,91
5010;COND PALMOLIVE 350ML MACIEZ PROLONGA;1;9;13,59;13,59;9,78;0;0;0;0;0;0;0;0;0;9,4204;0;0;0;0;0;13,59;4,1696;30,68;28;13,08
5011;COND PALMOLIVE 350ML NEUTRO;1;13;13,59;13,59;9,78;0;0;0;0;0;0;0;0;0;9,4865;0;0;0;0;0;13,59;4,1035;30,19;28;13,18
5019;COND PANTENE 150ML BAMBU;1;9;17,03;17,03;13,235;0;0;0;0;0;0;0;0;0;12,9496;0;0;0;0;0;17,03;4,0804;23,96;28;17,99
5020;COND PANTENE 150ML BIOTINAMINA;1;10;17,03;17,03;13,1925;0;0;0;0;0;0;0;0;0;13,0384;0;0;0;0;0;17,03;3,9916;23,44;28;18,11
5021;COND PANTENE 150ML COLAGENO;1;8;15,79;15,79;15,685;0;0;0;0;0;0;0;0;0;13,2891;0;0;0;0;0;15,79;2,5009;15,84;28;18,46
5022;COND PANTENE 150ML EQUIL ALGA MAR;1;9;17,03;17,03;16,1607;0;0;0;0;0;0;0;0;0;14,2676;0;0;0;0;0;17,03;2,7624;16,22;28;19,82
5023;COND PANTENE 150ML QUERATINA;1;9;17,03;17,03;15,6846;0;0;0;0;0;0;0;0;0;13,0678;0;0;0;0;0;17,03;3,9622;23,27;28;18,15
5028;COND PANTENE 175ML HIDRATACAO;1;8;17,03;17,03;13,1949;0;0;0;0;0;0;0;0;0;13,0626;0;0;0;0;0;17,03;3,9674;23,3;28;18,14
5030;COND PANTENE 175ML LISO EXTREMO;1;9;17,03;17,03;13,1197;0;0;0;0;0;0;0;0;0;12,8979;0;0;0;0;0;17,03;4,1321;24,26;28;17,91
5032;COND PANTENE 175ML RESTAUR PROFUND;1;10;17,03;17,03;13,1886;0;0;0;0;0;0;0;0;0;12,8625;0;0;0;0;0;17,03;4,1675;24,47;28;17,86
5035;COND PANTENE 250ML EQUIL ALGA MAR;1;9;26,28;26,28;21,8967;0;0;0;0;0;0;0;0;0;20,8343;0;0;0;0;0;26,28;5,4457;20,72;28;28,94
5036;COND PANTENE 250ML QUERATINA;1;9;26,1;26,1;20,9625;0;0;0;0;0;0;0;0;0;19,8353;0;0;0;0;0;26,1;6,2647;24;28;27,55
5041;COND PANTENE 400ML HIDROCAUTERIZAC;1;1;33,14;33,14;21,7804;0;0;0;0;0;0;0;0;0;21,7804;0;0;0;0;0;33,14;11,3596;34,28;28;30,25
5042;COND PANTENE 400ML LISO EXTREMO;1;8;33,14;33,14;25,33;0;0;0;0;0;0;0;0;0;24,7485;0;0;0;0;0;33,14;8,3915;25,32;28;34,37
5044;COND PANTENE 400ML RESTAURACAO;1;10;33,14;33,14;25,2882;0;0;0;0;0;0;0;0;0;24,5779;0;0;0;0;0;33,14;8,5621;25,84;28;34,14
5045;COND PANTENE 510ML BIOTINAMINA;1;5;43,69;43,69;39,0542;0;0;0;0;0;0;0;0;0;38,1624;0;0;0;0;0;43,69;5,5276;12,65;28;53
5052;COND SEDA 250ML BOOM HIDRATACAO DURA;1;1;17,03;17,03;11,86;0;0;0;0;0;0;0;0;0;11,86;0;0;0;0;0;17,03;5,17;30,36;29,5;16,82
5054;COND SEDA 300ML JUNTINHOS CACHOS;1;15;16,25;16,25;9,71;0;0;0;0;0;0;0;0;0;9,584;0;0;0;0;0;16,25;6,666;41,02;28;13,31
5056;COND SEDA 300ML JUNTINHOS TODOS OS TIPOS;1;14;16,25;16,25;11,8256;0;0;0;0;0;0;0;0;0;10,1013;0;0;0;0;0;16,25;6,1487;37,84;28;14,03
5057;COND SEDA 300ML LUMINOUS UV;1;14;14,63;14,63;10,4856;0;0;0;0;0;0;0;0;0;10,0127;0;0;0;0;0;14,63;4,6173;31,56;25;13,35
5064;COND SEDA 325ML CACHOS DEFINIDO;1;14;16,99;16,99;32,3247;0;0;0;0;0;0;0;0;0;11,8497;0;0;0;0;0;16,99;5,1403;30,25;28;16,46
5065;COND SEDA 325ML COLAGENO E VITA;1;11;16,99;16,99;9,71;0;0;0;0;0;0;0;0;0;9,71;0;0;0;0;0;16,99;7,28;42,85;28;13,49
5070;COND SEDA 325ML LISO PERFEITO;1;15;16,99;16,99;10,2328;0;0;0;0;0;0;0;0;0;9,5953;0;0;0;0;0;16,99;7,3947;43,52;28;13,33
5075;COND SEDA 325ML PREBIO BIOTINA;1;14;16,99;16,99;10,39;0;0;0;0;0;0;0;0;0;9,5944;0;0;0;0;0;16,99;7,3956;43,53;28;13,33
5076;COND SEDA 325ML PRET ILUMINOS;1;11;16,99;16,99;10,49;0;0;0;0;0;0;0;0;0;9,7832;0;0;0;0;0;16,99;7,2068;42,42;28;13,59
5077;COND SEDA 325ML SOS CERAMIDAS;1;15;16,99;16,99;10,3075;0;0;0;0;0;0;0;0;0;9,778;0;0;0;0;0;16,99;7,212;42,45;28;13,58
5096;COND TRESEMME 400ML HIDRAT PROFUND;1;6;27,42;27,42;19,24;0;0;0;0;0;0;0;0;0;18,833;0;0;0;0;0;27,42;8,587;31,32;28;26,16
5100;COND TRESEMME 400ML RECONST FORCA;1;2;27,42;27,42;19,24;0;0;0;0;0;0;0;0;0;17,765;0;0;0;0;0;27,42;9,655;35,21;28;24,67
5101;COND TRESEMME 400ML TRESPLEX;1;6;27,42;27,42;19,3929;0;0;0;0;0;0;0;0;0;19,2894;0;0;0;0;0;27,42;8,1306;29,65;28;26,79
5108;COND VINI LADY 325ML BRILHO INTENSO;1;13;12,25;12,25;9,1767;,2884;2,5484;0;0;0;0;0;0;0;8,6958;0;0;0;0;0;12,25;3,5542;29,01;25;11,59
5109;COND VINI LADY 325ML COCO;1;1;12,25;12,25;6,81;,3097;2,7375;0;0;0;0;0;0;0;9,8572;0;0;0;0;0;12,25;2,3928;19,53;25;13,14
5111;COND VINI LADY 325ML HIDRAT EXT MICE;1;3;12,25;12,25;8,846;0;0;0;0;0;0;0;0;0;8,846;0;0;0;0;0;12,25;3,404;27,79;25;11,79
5112;COND VINI LADY 325ML LISO INTENS;1;9;12,25;12,25;8,7563;,2794;2,4681;0;0;0;0;0;0;0;8,5807;0;0;0;0;0;12,25;3,6693;29,95;25;11,44
5113;COND VINI LADY 325ML ONDAS/CACHOS;1;8;12,25;12,25;9,1367;,2884;2,5469;0;0;0;0;0;0;0;8,6867;0;0;0;0;0;12,25;3,5633;29,09;25;11,58
5114;COND VINI LADY 325ML PRETO ABSOLUTO;1;4;12,25;12,25;9,1775;,0769;,6796;0;0;0;0;0;0;0;8,7374;0;0;0;0;0;12,25;3,5126;28,67;25;11,65
5115;COND VINI LADY 325ML REPARACAO TOT;1;9;12,25;12,25;9,1775;,2885;2,5485;0;0;0;0;0;0;0;8,7264;0;0;0;0;0;12,25;3,5236;28,76;25;11,64
5122;CONJ BULE+COADOR MOR AMARE PRIMAVER PESSEGO;1;5;59,99;59,99;34,63;0;0;0;0;0;0;0;0;0;34,63;17;1,65;7,6;26,25;15,7474;44,2426;9,6126;16,02;28;75,69
5123;CONJ BULE+COADOR MOR AMARE PRIMAVER RUBI;1;1;59,99;59,99;34,63;0;0;0;0;0;0;0;0;0;34,63;17;1,65;7,6;26,25;15,7474;44,2426;9,6126;16,02;28;75,69
5125;CONJ SOBREMESA GZT 325ML;1;1;29,9;29,9;13,189;0;0;0;0;0;0;0;0;0;13,189;17;1,65;7,6;26,25;7,8488;22,0513;8,8623;29,64;35;34,04
5126;CONV REGINA PEQ SHEREK P/SEMPRE 8UN;1;1;3,05;3,05;1,4351;0;0;0;0;0;0;0;0;0;1,4351;17;1,65;7,6;26,25;,8006;2,2494;,8143;26,7;35;3,7
5127;CONVITE REGINA CHA DE COZINHA 10UN TRADICIONAL;1;0;1,05;1,05;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;,2756;,7744;,7744;73,75;0;0
5129;JG COPO SM CAIRO 350ML 6UN;1;0;34,5;34,5;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;9,0563;25,4438;25,4438;73,75;35;0
5130;COPO COPOBRAS BALADA NEON300ML25UN ROSA;1;0;7,49;7,49;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;1,9661;5,5239;5,5239;73,75;20;0
5131;COPO COPOBRAS ISOPOR 120ML;1;1;3,59;3,59;2,2595;0;0;0;0;0;0;0;0;0;2,2595;17;1,65;7,6;26,25;,9424;2,6476;,3881;10,81;20;4,2
5132;COPO COPOBRAS ISOPOR 240ML;1;2;4,99;4,99;3,1602;0;0;0;0;0;0;0;0;0;3,1602;17;1,65;7,6;26,25;1,3099;3,6801;,5199;10,42;20;5,88
5133;COPO COPOBRAS ISOPOR 300ML;1;1;5,09;5,09;3,2038;0;0;0;0;0;0;0;0;0;3,2038;17;1,65;7,6;26,25;1,3361;3,7539;,5501;10,81;25;6,57
5134;COPO COPOBRAS TRAN300ML 100UN CFT300PP;1;1;7,89;7,89;4,9899;0;0;0;0;0;0;0;0;0;4,9899;17;1,65;7,6;26,25;2,0711;5,8189;,829;10,51;20;9,28
5136;COPO LOLLY EDUCATIVO 150ML C ALCA AZUL;1;2;23,56;23,56;10,09;,6558;0;0;0;1,2108;,1467;,675;0;0;9,2215;17;1,65;7,6;26,25;6,1845;17,3755;8,154;34,61;38;25,79
5140;COPO NADIR AMER C/TAMPA E CAN 450ML;1;3;12,99;12,99;7,99;0;0;0;0;0;0;0;0;0;7,99;17;1,65;7,6;26,25;3,4099;9,5801;1,5901;12,24;35;20,62
5141;COPO NADIR AMERICANO 190ML 2010;1;15;1,75;1,75;,9224;0;0;0;0;0;0;0;0;0;,9009;17;1,65;7,6;26,25;,4594;1,2906;,3897;22,27;30;2,06
5142;COPO NADIR AMERICANO 300ML;1;0;3,9;3,9;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;1,0238;2,8763;2,8763;73,75;35;0
5143;COPO NADIR BAR 2601;1;0;3,9;3,9;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;1,0238;2,8763;2,8763;73,75;35;0
5144;COPO NADIR CHOPP FLORIPA 300ML 7732;1;14;10,99;10,99;4,89;0;0;0;0;0;0;0;0;0;4,89;17;1,65;7,6;26,25;2,8849;8,1051;3,2151;29,26;35;12,62
5145;COPO NADIR CONTOUR COCA COLA CRISTAL7050;1;0;11,29;11,29;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;2,9636;8,3264;8,3264;73,75;35;0
5146;JG COPO NADIR LONG DRINK 6UN 300ML 770468;1;1;29,99;29,99;19,9;0;0;0;0;0;0;0;0;0;19,9;17;1,65;7,6;26,25;7,8724;22,1176;2,2176;7,39;35;51,35
5147;COPO NADIR LONG DRINK OPERA 360ML;1;1;8,99;8,99;3,99;0;0;0;0;0;0;0;0;0;3,99;17;1,65;7,6;26,25;2,3599;6,6301;2,6401;29,37;30;9,12
5148;COPO NADIR MUNICH CERVEJA 200ML7109;1;8;8,02;8,02;3,69;0;0;0;0;0;0;0;0;0;3,69;17;1,65;7,6;26,25;2,1053;5,9148;2,2248;27,74;42;11,62
5149;COPO NADIR POEMA SUCO 7772 6UN;1;9;29,9;29,9;13,94;0;0;0;0;0;0;0;0;0;13,94;17;1,65;7,6;26,25;7,8488;22,0513;8,1113;27,13;35;35,97
5150;COPO NADIR SHOT 100ML 3033;1;7;6,99;6,99;3,29;0;0;0;0;0;0;0;0;0;3,29;17;1,65;7,6;26,25;1,8349;5,1551;1,8651;26,68;35;8,49
5151;COPO NADIR SHOT 60ML;1;12;4,99;4,99;2,39;0;0;0;0;0;0;0;0;0;2,39;17;1,65;7,6;26,25;1,3099;3,6801;1,2901;25,85;35;6,17
5152;COPO NADIR VEGAS 2752;1;0;6,98;6,98;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;1,8323;5,1478;5,1478;73,75;35;0
5153;COPO NADIR WHISKY ROCKS BAR 1800;1;2;7,99;7,99;3,79;0;0;0;0;0;0;0;0;0;3,79;17;1,65;7,6;26,25;2,0974;5,8926;2,1026;26,32;35;9,78
5154;COPO PLASUTIL 320ML MINNIE 2611;1;13;5,99;5,99;2,6561;0;0;0;0;0;0;0;0;0;2,6561;17;1,65;7,6;26,25;1,5724;4,4176;1,7615;29,41;35;6,85
5155;COPO PLASUTIL 500ML C/ORELHA MICKEY 6823;1;1;11,99;11,99;5,64;0;0;0;0;0;0;0;0;0;5,64;17;1,65;7,6;26,25;3,1474;8,8426;3,2026;26,71;35;14,55
5156;COPO PLASUTIL 500ML C/ORELHA MINNIE 12974;1;8;11,99;11,99;11,99;0;0;0;0;0;0;0;0;0;6,4338;17;1,65;7,6;26,25;3,1474;8,8426;2,4088;20,09;35;16,6
5157;COPO PLASUTIL 500ML REFRI STITCH 15831;1;9;12,99;12,99;6,32;0;0;0;0;0;0;0;0;0;6,32;17;1,65;7,6;26,25;3,4099;9,5801;3,2601;25,1;35;16,31
5158;COPO PLASUTIL 500ML SHAK UNICOR3770;1;1;13,99;13,99;6,81;0;0;0;0;0;0;0;0;0;6,81;17;1,65;7,6;26,25;3,6724;10,3176;3,5076;25,07;35;17,57
5159;COPO PLASUTIL 500ML SHAKE CARROS 8277;1;1;15,99;15,99;6,6424;0;0;0;0;0;0;0;0;0;6,6424;17;1,65;7,6;26,25;4,1974;11,7926;5,1502;32,21;35;17,14
5160;COPO PLASUTIL 500ML SHAKE HOMEM ARAN 8316;1;2;11,99;11,99;5,32;0;0;0;0;0;0;0;0;0;5,32;17;1,65;7,6;26,25;3,1474;8,8426;3,5226;29,38;35;13,73
5161;COPO PLASUTIL 500ML SHAKE HULK 8635;1;0;13,99;13,99;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;3,6724;10,3176;10,3176;73,75;35;0
5162;COPO PLASUTIL 500ML SHAKE MINNIE 8252;1;2;11,99;11,99;5,32;0;0;0;0;0;0;0;0;0;5,32;17;1,65;7,6;26,25;3,1474;8,8426;3,5226;29,38;35;13,73
5163;COPO PLASUTIL 700ML REFRI COCA-COLA;1;0;20,39;20,39;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;5,3524;15,0376;15,0376;73,75;38;0
5164;COPO PLASVALE GRADUADO580ML REF1202 COR 8300;1;0;6,99;6,99;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;1,8349;5,1551;5,1551;73,75;35;0
5165;COPO QUILMES P/ CERVEJA 354ML;1;1;16,99;16,99;9,9402;0;0;0;0;0;0;0;0;0;9,9402;17;1,65;7,6;26,25;4,4599;12,5301;2,5899;15,24;35;25,65
5167;COPO SM ARUBA LONG DRINK CRISTAL;1;1;7,39;7,39;4,49;0;0;0;0;0;0;0;0;0;4,49;17;1,65;7,6;26,25;1,9399;5,4501;,9601;12,99;35;11,59
5168;COPO SM ARUBA WHISKY ROCKS 345ML CRIST J305;1;1;6,99;6,99;3,55;0;0;0;0;0;0;0;0;0;3,55;17;1,65;7,6;26,25;1,8349;5,1551;1,6051;22,96;30;8,11
5169;CORANTE LIQUIDGEL 25G GEL MARROM;1;1;2,99;2,99;2,1;0;0;0;0;0;0;0;0;0;2,1;17;1,65;7,6;26,25;,7849;2,2051;,1051;3,52;18;3,77
5170;CORANTE LIQUIDGEL25G ROSA CLARO;1;0;2,99;2,99;0;0;0;0;0;0;0;0;0;0;0;17;1,65;7,6;26,25;,7849;2,2051;2,2051;73,75;20;0
5171;CORANTE SOFTGEL 25G SUPER VERM;1;1;1000;1000;3,54;0;0;0;0;0;0;0;0;0;3,54;17;1,65;7,6;26,25;262,5;737,5;733,96;73,4;20;6,59
5172;CORANTE TINGECOR 40G GUARANY MARINHO N16;1;14;4,99;4,99;2,2669;0;0;0;0;,272;,0329;,1516;0;0;1,9324;17;1,65;7,6;26,25;1,3099;3,6801;1,7477;35,02;35;4,99
5173;CORANTE TINGECOR 40G GUARANY PRETO N31;1;14;4,99;4,99;2,2669;0;0;0;0;,272;,0329;,1516;0;0;1,8749;17;1,65;7,6;26,25;1,3099;3,6801;1,8052;36,18;35;4,84
5174;CORDA VARAL ANGELINA EXT FORTE 15MT;1;10;12,99;12,99;6,7959;0;0;0;0;,814;,0985;,4536;0;0;5,7797;17;1,65;7,6;26,25;3,4099;9,5801;3,8004;29,26;31;13,52
5175;CORDA VARAL BALDIN EXTRA FORTE 10MT;1;10;9,49;9,49;4,95;0;0;0;0;,594;,0718;,3311;0;0;4,1232;17;1,65;7,6;26,25;2,4911;6,9989;2,8757;30,3;31;9,64
5177;CORRETIVO JOCAR 18ML;1;14;2,99;2,99;1,23;0;0;0;0;0;0;0;0;0;1,23;17;1,65;7,6;26,25;,7849;2,2051;,9751;32,61;37;3,35
5178;CORRETIVO MERCUR 18ML;1;4;5,99;5,99;2,37;0;0;0;0;0;0;0;0;0;2,37;17;1,65;7,6;26,25;1,5724;4,4176;2,0476;34,18;37;6,45
5187;COTONETE JOHNSON 75UN;1;14;9,49;9,49;5,5171;0;0;0;0;0;,0909;,4188;0;0;4,919;0;1,65;7,6;9,25;,8778;8,6122;3,6932;38,92;38;9,33
5191;CR DEN COLGATE LUMIN WHITE 140G CARVAO ATIVADO;1;6;21,59;21,59;15,13;0;0;0;0;0;0;0;0;0;13,967;0;0;0;0;0;21,59;7,623;35,31;30;19,95
5192;CR DEN COLGATE 140G NAT EXTR CARVAO ATIVADO;1;10;19,39;19,39;13,56;0;0;0;0;0;0;0;0;0;13,1109;0;0;0;0;0;19,39;6,2791;32,38;30;18,73
5196;CR DEN COLGATE MPA 180G;1;15;8,99;8,99;7,5583;0;0;0;0;0;0;0;0;0;6,9054;0;0;0;0;0;8,99;2,0846;23,19;30;9,86
5197;CR DEN COLGATE 180G TRI ACAO MENTA;1;15;10,29;10,29;7,19;0;0;0;0;0;0;0;0;0;7,0578;0;0;0;0;0;10,29;3,2322;31,41;30;10,08
5203;CR DEN COLGATE 70G LUMIN WHITE GLOW;1;4;25,31;25,31;18,15;0;0;0;0;0;0;0;0;0;18,15;0;0;0;0;0;25,31;7,16;28,29;30;25,93
5204;CR DEN COLGATE LUMIN WHITE 70G BRILLIANT MINT;1;9;12,99;12,99;9,07;0;0;0;0;0;0;0;0;0;8,8072;0;0;0;0;0;12,99;4,1828;32,2;30;12,58
5206;CR DEN COLGATE LUMIN WHITE 70G CARVAO ATIVADO;1;9;12,99;12,99;9,07;0;0;0;0;0;0;0;0;0;8,9072;0;0;0;0;0;12,99;4,0828;31,43;30;12,72
5215;CR DEN COLGATE T ACAO XTRA 70G WHITE;1;9;5,58;5,58;3,8075;0;0;0;0;0;0;0;0;0;3,6763;0;0;0;0;0;5,58;1,9037;34,12;30;5,25
5216;CR DEN COLGATE 90G CARVAO ATIVADO;1;10;12,29;12,29;10,37;0;0;0;0;0;0;0;0;0;9,3729;0;0;0;0;0;12,29;2,9171;23,74;30;13,39
5217;CR DEN COLGATE 90G NAT EXT CARVAO;1;14;9,99;9,99;7,29;0;0;0;0;0;0;0;0;0;7,29;0;0;0;0;0;9,99;2,7;27,03;30;10,41
5220;CR DEN COLGATE 90G MPA;1;15;6,49;6,49;3,7635;0;0;0;0;0;0;0;0;0;3,4335;0;0;0;0;0;6,49;3,0565;47,1;30;4,91
5222;CR DEN COLGATE TT12 90G ADVAN FRESH;1;9;12,29;12,29;9,3829;0;0;0;0;0;0;0;0;0;7,7265;0;0;0;0;0;12,29;4,5635;37,13;30;11,04
5223;CR DEN COLGATE TT12 90G WHITENING;1;10;12,29;12,29;9,2336;0;0;0;0;0;0;0;0;0;8,2461;0;0;0;0;0;12,29;4,0439;32,9;30;11,78
5225;CR DENT COLGATE T ACAO 90G HORTELA;1;15;9,79;9,79;4,9575;0;0;0;0;0;0;0;0;0;4,4107;0;0;0;0;0;9,79;5,3793;54,95;30;6,3
5226;CR DENT COLGATE T ACAO 90G ORIG;1;15;6,99;6,99;4,199;0;0;0;0;0;0;0;0;0;3,7398;0;0;0;0;0;6,99;3,2502;46,5;30;5,34
5229;CR DEN COLGATE L180 P140 TRI MENTA;1;15;11,29;11,29;7,895;0;0;0;0;0;0;0;0;0;7,8947;0;0;0;0;0;11,29;3,3953;30,07;30;11,28
5235;CR DEN ORAL B 70G 3D WHIT BRI FRESH;1;7;8,1;8,1;8,3233;0;0;0;0;0;0;0;0;0;6,7002;0;0;0;0;0;8,1;1,3998;17,28;30;9,57
5237;CR DEN ORAL B LV3PG2 70G 3D WHITE BRILLIANT FRESH;1;1;16,19;16,19;16,0363;0;0;0;0;0;0;0;0;0;16,0363;0;0;0;0;0;16,19;,1537;,95;30;22,91
5238;CR DENT SENSODYNE 50G BRA EXT FRESH;1;8;11,19;11,19;22,4225;0;0;0;0;0;0;0;0;0;9,8808;0;0;0;0;0;11,19;1,3092;11,7;30;14,12
5239;CR DEN SENSODYNE 90G LIMPEZA PROFUND;1;7;19,99;19,99;14,2604;0;0;0;0;0;0;0;0;0;14,0163;0;0;0;0;0;19,99;5,9737;29,88;30;20,02
5241;CR DEN SENSODYNE 90G EXTRA FRE BRANQ EXTRA FRE;1;8;13,69;13,69;28,915;0;0;0;0;0;0;0;0;0;14,4775;0;0;0;0;0;13,69;-,7875;-5,75;30;20,68
5242;CR DENT SENSODYNE 90G PROTECAO COMP;1;8;17,32;17,32;17,0195;0;0;0;0;0;0;0;0;0;16,4647;0;0;0;0;0;17,32;,8553;4,94;30;23,52
5243;CR DEN SENSODYNE 90G RAPIDO ALIVIO;1;8;17,32;17,32;34,1183;0;0;0;0;0;0;0;0;0;13,5561;0;0;0;0;0;17,32;3,7639;21,73;30;19,37
5244;CR DEN SORRISO 70G TRIPLA LIMPEZA COMPLETA;1;15;3,89;3,89;2,9441;0;0;0;0;0;0;0;0;0;2,763;0;0;0;0;0;3,89;1,127;28,97;30;3,95
5246;CR DEN SORRISO 90G CARVAO ATIVADO;1;14;8,79;8,79;6,0892;0;0;0;0;0;0;0;0;0;6,0892;0;0;0;0;0;8,79;2,7008;30,73;30;8,7
5247;CR DENT SORRISO 90G DENTES BCOS;1;11;5,49;5,49;3,815;0;0;0;0;0;0;0;0;0;3,8146;0;0;0;0;0;5,49;1,6754;30,52;30;5,45
5249;CR DENT CLOSE UP 70G PROT BIOATIVA;1;10;3,73;3,73;2,76;0;0;0;0;0;0;0;0;0;2,7154;0;0;0;0;0;3,73;1,0146;27,2;30;3,88
5250;CR DENT CLOSE UP 70G TRIPLE HORTELA;1;15;3,99;3,74;2,69;0;,0186;0;0;0;0;0;0;0;2,4261;0;0;0;0;0;3,74;1,3139;35,13;30;3,47
5251;CR DENT CLOSE UP 70G TRIPLE MENTA;1;14;3,99;3,74;2,69;0;0;0;0;0;0;0;0;0;2,6757;0;0;0;0;0;3,74;1,0643;28,46;30;3,82
5252;CR DENT CLOSE UP 70G TRIPLE MENTA AMER;1;15;3,99;3,74;2,69;0;0;0;0;0;0;0;0;0;2,2842;0;0;0;0;0;3,74;1,4558;38,93;30;3,26
5253;CR DENTAL CLOSE UP 100G LIQUIFRESH ICE;1;8;7,6;7,6;5,3821;0;0;0;0;0;0;0;0;0;5,3666;0;0;0;0;0;7,6;2,2334;29,39;30;7,67
5254;CR DENTAL CLOSE UP 100G LIQUIFRESH RED HOT;1;15;7,6;7,6;5,39;0;0;0;0;0;0;0;0;0;5,3695;0;0;0;0;0;7,6;2,2305;29,35;30;7,67
5258;CR DENTAL CLOSE UP 85G CARVAO ADIV;1;2;78,28;78,28;4,9614;0;0;0;0;0;0;0;0;0;4,9607;0;0;0;0;0;78,28;73,3193;93,66;30;7,09
5259;CR DENTAL CLOSE UP 85G MULTIVITAM FRESH;1;2;7,13;7,13;4,6;0;0;0;0;0;0;0;0;0;4,6;0;0;0;0;0;7,13;2,53;35,48;30;6,57
5260;CR DENTAL ORAL B 102G DETOX ANTITAR;1;1;29,14;29,14;17,7567;0;0;0;0;0;0;0;0;0;17,7567;0;0;0;0;0;29,14;11,3833;39,06;30;25,37
