"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"409";"A EXCLUIR ITENS FARDO ACAI COCO";"800";"59,000";"618,91";"532,91"
"450";"A EXCLUIR ITENS FARDO COLA";"800";"6,000";"44,94";"44,94"
"449";"A EXCLUIR ITENS FARDO COLA CAFE";"800";"2,000";"14,98";"14,98"
"414";"A EXCLUIR ITENS FARDO GUAR MARACUJA";"800";"39,000";"409,11";"402,11"
"488";"A EXCLUIR ITENS FARDO MELANCIA S A";"800";"7,000";"38,43";"38,43"
"33971";"A EXCLUIR ITENS FARDO RIO PUNCH";"800";"236,000";"2.205,24";"2.124,84"
"10480";"ABACATE AVOCADO KG";"800";"1,202";"24,99";"24,99"
"10479";"ABACATE KG";"800";"5.172,860";"35.282,57";"35.263,02"
"10481";"ABACAXI CORTADO KG";"800";"3,873";"45,47";"45,47"
"12134";"ABACAXI MARIZA FOODS 400G RODELAS";"800";"132,000";"2.955,48";"2.942,87"
"2251";"ABACAXI ODERICH 400G RODELAS";"800";"33,000";"1.016,07";"1.016,07"
"38532";"ABACAXI PICADO KG";"800";"1,894";"56,63";"56,63"
"12136";"ABACAXI TRIANGULO RODELA 400G";"800";"44,000";"880,47";"880,47"
"10482";"ABACAXI UN PEROLA";"800";"6.958,000";"50.015,42";"49.935,59"
"10487";"ABOBORA DOCE CORTADA";"800";"150,940";"1.370,26";"1.370,26"
"10486";"ABOBORA DOCE KG";"800";"409,656";"3.103,98";"3.103,98"
"10488";"ABOBORA GOMO COMUM KG";"800";"651,375";"2.448,62";"2.448,62"
"10489";"ABOBORA GOMO CORTADA";"800";"112,946";"420,09";"420,09"
"10492";"ABOBORA ITALIA CONSERVA";"800";"0,932";"34,01";"34,01"
"10490";"ABOBORA ITALIA KG";"800";"3.660,740";"17.310,05";"16.780,39"
"10493";"ABOBORA TRONCO KG";"800";"718,761";"5.932,61";"5.932,10"
"12142";"ABR GFA C SACA ROLHA EM CASA TEM";"800";"13,000";"103,87";"103,87"
"12143";"ABR GFA GOLD";"800";"2,000";"9,98";"9,98"
"12146";"ABR GFA LATA  INOX ORIG";"800";"5,000";"14,95";"14,95"
"12148";"ABR GFA LATA SILVER";"800";"1,000";"3,99";"3,99"
"12153";"ABR SACA ROLHA VINHO METAL";"800";"7,000";"83,93";"83,93"
"12154";"ABRAC NYLON BCO 2,5X100MM C/100";"800";"1,000";"4,99";"4,99"
"12155";"ABRAC NYLON BCO 2,5X150MM C/80";"800";"1,000";"4,99";"4,99"
"12156";"ABRAC NYLON BCO 2,5X200MM C/60";"800";"5,000";"24,95";"24,95"
"12158";"ABRAC P MANGUEIRA GAS ";"800";"8,000";"80,43";"80,43"
"35188";"ABRIDOR GARRAFA 14CM C SACA ROLHA";"800";"1,000";"16,99";"16,99"
"38099";"ABRIDOR GARRAFA PLAST METAL 5PCS";"800";"42,000";"839,58";"839,58"
"36906";"ABRIDOR LATA GARRAFA CASA ONZE INOX";"800";"1,000";"16,99";"16,99"
"37563";"ABRIDOR LT E GFA INOX 9CM";"800";"21,000";"83,79";"83,79"
"3880";"ABS ALWAYS 32UN BASICO M SECA C ABAS";"800";"39,000";"895,41";"895,41"
"3881";"ABS ALWAYS 32UN BASICO M SUAVE C ABAS";"800";"95,000";"2.193,65";"2.193,65"
"3882";"ABS ALWAYS 8UN BASICO P SECA C ABAS";"800";"145,000";"983,27";"983,27"
"3883";"ABS ALWAYS 8UN BASICO P SUAVE C ABAS";"800";"166,000";"1.124,18";"1.124,18"
"12160";"ABS ALWAYS SUP PROT SECA C AB C 16";"800";"56,000";"745,64";"745,64"
"3885";"ABS C ABAS ALWAYS 16UN BASICA SUAVE";"800";"44,000";"574,29";"574,29"
"3886";"ABS C ABAS ALWAYS 8UN NOITE SUAV XG";"800";"30,000";"542,88";"542,88"
"3887";"ABS C ABAS ALWAYS 8UN NOTURNO SUAVE";"800";"25,000";"345,21";"345,21"
"3888";"ABS C ABAS ALWAYS LV PG 32UN NOTUR";"800";"24,000";"1.146,43";"1.146,43"
"3890";"ABS C ABAS ALWAYS LV16PG14 AC S NOT";"800";"52,000";"1.313,92";"1.313,92"
"3889";"ABS C ABAS ALWAYS LV16PG14 NOT SUAV";"800";"34,000";"867,91";"867,91"
"3891";"ABS C ABAS ALWAYS LV32PG26 NOT SUAV";"800";"12,000";"587,88";"587,88"
"3892";"ABS C ABAS ALWAYS LV8PG7 PT T SE NO";"800";"9,000";"126,82";"126,82"
"3893";"ABS C ABAS DIA NOITE 32 UN SUAVE";"800";"183,000";"5.048,97";"5.048,97"
"3895";"ABS C ABAS INTIMUS 16UN NOTURNO SUAVE";"800";"66,000";"1.589,94";"1.589,94"
"3898";"ABS C ABAS INTIMUS 8UN NORMAL SECA";"800";"170,000";"1.628,60";"1.628,60"
"3900";"ABS C ABAS INTIMUS 8UN NORMAL SUAVE";"800";"110,000";"1.033,50";"1.033,50"
"3897";"ABS C ABAS INTIMUS 8UN NOTURNO SECA";"800";"1,000";"13,99";"13,99"
"3899";"ABS C ABAS INTIMUS 8UN NOTURNO SUAVE";"800";"14,000";"195,86";"195,86"
"3901";"ABS C ABAS INTIMUS LV16PG14 SECA";"800";"77,000";"1.061,83";"1.061,83"
"3902";"ABS C ABAS INTIMUS LV16PG14 SUAVE";"800";"108,000";"1.489,32";"1.489,32"
"3903";"ABS C ABAS MILI DIA NOITE C 16 UN SUAVE";"800";"232,000";"3.083,28";"3.083,28"
"3905";"ABS C ABAS S LIVRE 32UN ADAPT SUAVE";"800";"179,000";"3.757,21";"3.445,20"
"3906";"ABS C ABAS S LIVRE 8UN ADAP PLUS SV";"800";"70,000";"566,30";"559,80"
"3907";"ABS C ABAS S LIVRE 8UN NOTURNO SV";"800";"46,000";"625,14";"625,14"
"3908";"ABS C ABAS S LIVRE 8UN SV ADAPT";"800";"128,000";"792,32";"792,32"
"3909";"ABS C ABAS S LIVRE L16PG14 ADAPT";"800";"363,000";"4.134,57";"4.053,37"
"3910";"ABS C ABAS S LIVRE LV PG 32UN NOTUR";"800";"27,000";"1.171,53";"1.171,53"
"3911";"ABS C ABAS S LIVRE LV8PG7 AD SUAVE";"800";"1.192,000";"5.232,88";"5.232,38"
"8784";"ABS CAREFREE NEUTRALIZE 15UN";"800";"24,000";"283,56";"283,56"
"12162";"ABS CAREFREE PROT DIA S PERF C 15";"800";"15,000";"180,36";"180,36"
"12164";"ABS CAREFREE PROT S PERF C 40";"800";"6,000";"117,00";"117,00"
"12178";"ABS COTTONBABY SUAVE C ABAS C 8";"800";"268,000";"1.256,92";"1.256,92"
"12177";"ABS COTTONBABY SUAVE NOT C ABA C 8 C ABAS";"800";"68,000";"563,72";"562,92"
"12179";"ABS COTTONBABY SUAVE S ABAS C 8";"800";"227,000";"1.041,93";"1.041,93"
"12168";"ABS DEFINITY C ABAS C 8";"800";"1.572,000";"3.914,28";"3.914,28"
"12169";"ABS DEFINITY S ABAS C 8";"800";"424,000";"1.121,84";"1.121,84"
"12166";"ABS DIARIO COTTONBABY C 15 S PERF";"800";"215,000";"1.030,97";"1.030,97"
"12173";"ABS GERIAMAX POS PARTO OPERAT C 20";"800";"139,000";"2.634,97";"2.626,97"
"3913";"ABS INTERNO INTIMUS 8UN MD MODERADO";"800";"4,000";"75,96";"75,96"
"3914";"ABS INTERNO INTIMUS 8UN SUPER INTENSO";"800";"20,000";"384,35";"384,35"
"12174";"ABS INTERNO INTIMUS MINI L16P15";"800";"8,000";"247,47";"247,47"
"12175";"ABS INTERNO INTIMUS SUPER L16P15";"800";"30,000";"914,70";"914,70"
"3916";"ABS INTERNO OB LV10 PG8 MEDIO";"800";"32,000";"550,08";"545,88"
"3917";"ABS INTERNO OB LV10 PG8 SUPER";"800";"36,000";"618,84";"597,84"
"33228";"ABS INTERNO OB PROMO C 16 MEDIO";"800";"2,000";"51,18";"51,18"
"33229";"ABS INTERNO OB PROMO C 16 SUPER";"800";"1,000";"25,59";"25,59"
"8787";"ABS INTIMUS INTERNO MD LV16 PG15UN";"800";"16,000";"497,96";"497,96"
"8789";"ABS MILI COB C ABAS SV 8UN";"800";"1.376,000";"6.683,14";"6.377,64"
"33363";"ABS MILI CONFORT TOTAL C ABAS C 32";"800";"37,000";"802,53";"798,95"
"12180";"ABS MILI CONFORTO TOT C ABAS 8UN";"800";"282,000";"1.660,98";"1.660,98"
"33366";"ABS MILI DUO C ABAS C8";"800";"42,000";"364,98";"364,98"
"12181";"ABS MILI MULHER CONFORTO TOT C ABAS C 16UN";"800";"213,000";"2.404,77";"2.404,77"
"33364";"ABS MILI NOT DISCRETO C ABAS";"800";"93,000";"1.384,77";"1.384,77"
"33365";"ABS MILI NOT ULTRA C ABAS C 8";"800";"219,000";"2.034,51";"2.033,91"
"8791";"ABS MILI NOTURNO C ABAS 8UN";"800";"593,000";"5.255,07";"5.255,07"
"8792";"ABS MILI NOTURNO SAUVE C ABAS 32UN";"800";"167,000";"5.466,73";"5.466,73"
"3904";"ABS MILI PROT TOTAL 16UN C ABAS SUAVE";"800";"742,000";"7.334,18";"7.334,18"
"12183";"ABS MILI SUAVE PROT TOT C ABAS C 32";"800";"259,000";"4.905,81";"4.905,81"
"35584";"ABS PARTO OPERATORIO MAX POS C 20";"800";"20,000";"291,80";"291,80"
"35645";"ABS PARTO OPERATORIO MAX POS C10";"800";"72,000";"553,68";"553,68"
"3918";"ABS S ABAS INTIMUS 8UN NORMAL SECA";"800";"72,000";"683,38";"683,38"
"3919";"ABS S ABAS INTIMUS 8UN NORMAL SUAVE";"800";"88,000";"822,52";"822,52"
"3920";"ABS S ABAS S LIVRE 8UN ADAPT SV";"800";"107,000";"662,33";"662,33"
"8793";"ABS SEMPRE LIVRE NOT C ABAS L16P14";"800";"39,000";"1.001,91";"1.001,91"
"12188";"ABS SEMPRE LIVRE NOT SECA C/ABAS C/8";"800";"16,000";"234,80";"234,80"
"10495";"ACELGA";"800";"10,000";"29,80";"29,80"
"10512";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA BDJ";"800";"2.772,471";"74.050,23";"74.030,57"
"10513";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA C OSSO";"800";"22.699,604";"579.683,26";"579.514,40"
"10514";"ACEM E PESCOCO C OSSO BOV RESF KG AGULHA CENTR BD";"800";"2.741,572";"101.069,04";"101.011,85"
"10496";"ACEM FRIBOI PORC KG";"800";"424,734";"16.157,39";"13.559,74"
"10497";"ACEM FRIBOI PORC KG BDJ";"800";"23,024";"766,36";"766,36"
"35442";"ACEM MATURATTA SHORT RIB CONG KG";"800";"1,536";"92,15";"92,15"
"25556";"ACEM RESERVA S OSSO KG BDJ";"800";"290,392";"12.324,35";"11.757,49"
"10716";"ACEM RESERVA S OSSO KG BIFE CACAROLA";"800";"8,994";"422,61";"422,61"
"34528";"ACEM RESERVA S OSSO KG CARNE CACAROLA";"800";"1,058";"51,83";"51,83"
"10498";"ACEM RESERVA S OSSO KG CUBOS";"800";"6,546";"314,14";"314,14"
"10500";"ACEM RESERVA S OSSO KG MOIDO";"800";"2.168,623";"89.794,28";"85.714,62"
"10501";"ACEM RESERVA S OSSO KG PEDACO";"848";"1.468,000";"46.212,64";"46.212,64"
"10501";"ACEM RESERVA S OSSO KG PEDACO";"800";"560,008";"25.812,72";"20.444,90"
"12192";"ACENDEDOR BIC MEGA LIGHTER";"800";"3,000";"86,37";"86,37"
"33645";"ACENDEDOR FOGAO MET PLAS 22CM A PEDRA";"800";"1,000";"9,99";"9,99"
"12193";"ACENDEDOR HANDY BIC";"800";"12,000";"261,48";"261,48"
"12194";"ACENDEDOR P FOGAO FLAME PREMIUM ";"800";"12,000";"155,88";"155,88"
"12195";"ACENDEDOR PARANA BASTAO ECOLOGICO";"800";"193,000";"1.464,87";"1.462,87"
"8799";"ACENDEDOR PARANA GEL 480G ";"800";"243,000";"2.670,57";"2.670,57"
"12196";"ACENDEDOR PARANA SOLID0 100G";"800";"73,000";"636,27";"636,27"
"12197";"ACENDEDOR REACH BIC";"800";"37,000";"758,13";"754,33"
"3932";"ACENDEDOR SANDERO 16G FOGO";"800";"117,000";"728,83";"728,83"
"2967";"ACHOC APTI PT 210G ZERO";"800";"20,000";"459,80";"459,80"
"2928";"ACHOC LIQ ELEGE 1L BOB ESPONJA";"800";"346,000";"2.972,14";"2.972,14"
"2925";"ACHOC LIQ ITALAC 1L";"800";"617,000";"3.510,73";"3.510,73"
"2911";"ACHOC LIQ ITALAC 200ML";"800";"16.470,000";"21.246,30";"21.246,30"
"2913";"ACHOC LIQ NESCAU 180ML ACTIC GO";"800";"3.463,000";"8.969,17";"8.969,17"
"2915";"ACHOC LIQ NESCAU 180ML ZERO LACTOSE";"800";"409,000";"1.222,91";"1.222,91"
"2916";"ACHOC LIQ NESQUIK 180ML MORANGO";"800";"531,000";"1.587,69";"1.587,69"
"2923";"ACHOC LIQ SHOWKINHO 1L";"800";"1.197,000";"5.973,03";"5.973,03"
"2909";"ACHOC LIQ SHOWKINHO 200ML";"800";"21.798,000";"29.882,82";"27.840,92"
"2920";"ACHOC LIQ TODDYNHO 200ML";"800";"3.030,000";"8.866,50";"8.252,70"
"2919";"ACHOC LIQ TODDYNHO 200ML LEVINHO";"800";"501,000";"1.463,79";"1.373,19"
"2935";"ACHOC NESCAU LT 670G";"800";"240,000";"6.093,60";"6.093,60"
"2934";"ACHOC NESQUIK LT 380G MORANGO";"800";"197,000";"3.681,93";"3.681,93"
"10505";"ACHOC NESTLE ALPINO";"800";"93,000";"465,00";"465,00"
"10507";"ACHOC NESTLE NESCAU";"800";"23,000";"91,77";"91,77"
"34294";"ACHOC PO 3C LT 350G CHOCOLATTO";"800";"2.061,000";"23.008,41";"21.362,88"
"2950";"ACHOC PO 3C SH 560G CHOCOLATTO";"800";"711,000";"12.466,09";"11.675,29"
"2942";"ACHOC PO APTI SH 200G";"800";"1.053,000";"4.412,07";"4.412,07"
"2946";"ACHOC PO APTI SH 400G MORANGO";"800";"157,000";"1.369,03";"1.369,03"
"2953";"ACHOC PO APTI SH 700G INSTANT POWER";"800";"726,000";"11.899,14";"11.899,14"
"2944";"ACHOC PO CBS SH 400G SUPERCAU";"800";"351,000";"4.208,49";"4.108,20"
"2944";"ACHOC PO CBS SH 400G SUPERCAU";"810";"4,000";"47,96";"47,96"
"2939";"ACHOC PO CHOKILAR SH 200G";"800";"1.181,000";"5.184,59";"5.184,59"
"12216";"ACHOC PO NESCAU LT 350G";"800";"4.737,000";"56.462,43";"54.594,42"
"33258";"ACHOC PO NESCAU LT 350G 33PCT MENOS ACU";"800";"252,000";"3.057,48";"3.057,48"
"12217";"ACHOC PO NESCAU LT P330G L350G";"800";"1,000";"10,99";"10,99"
"783";"ACHOC PO NESCAU SH 2 01KG";"800";"1,000";"29,90";"29,90"
"2956";"ACHOC PO NESCAU SH 550G ACTIV GO";"800";"275,000";"6.514,75";"6.514,75"
"2958";"ACHOC PO NESCAU SH 730G ACTIV GO";"800";"406,000";"10.876,74";"10.875,94"
"33293";"ACHOC PO NESCAU SH L550G P500G";"800";"41,000";"819,59";"819,59"
"2959";"ACHOC PO TODDY SH 1 8KG MAIS ECONOMICA";"800";"96,000";"4.079,04";"4.079,04"
"2949";"ACHOC PO TODDY SH 480G";"800";"868,000";"12.562,48";"11.068,83"
"2954";"ACHOC PO TODDY SH 700G";"800";"457,000";"8.221,43";"8.216,34"
"2960";"ACHOC TODDY PT 370G ORIGINAL";"800";"4.580,000";"51.163,14";"44.399,38"
"2969";"ACHOC TODDY PT 750G ORIGINAL MAIS ECONOMICA";"800";"176,000";"4.433,44";"4.433,44"
"2777";"ACUCAR CONFEITEIRO CBS 500G";"800";"67,000";"669,33";"669,33"
"12228";"ACUCAR CRISTAL DOCESUCAR 5KG";"800";"1.255,000";"21.322,45";"21.322,45"
"746";"ACUCAR CRISTAL GASPARIN 1KG";"800";"9.866,000";"38.411,34";"36.642,34"
"746";"ACUCAR CRISTAL GASPARIN 1KG";"810";"4,000";"15,96";"15,96"
"747";"ACUCAR CRISTAL GASPARIN 2KG";"800";"14.480,000";"101.395,53";"94.879,49"
"750";"ACUCAR CRISTAL GASPARIN 5KG";"800";"13.824,000";"227.813,26";"201.150,87"
"750";"ACUCAR CRISTAL GASPARIN 5KG";"810";"4,000";"69,46";"69,46"
"757";"ACUCAR CRISTAL SAO JOAO 1KG";"800";"957,000";"4.428,43";"4.428,43"
"760";"ACUCAR CRISTAL SAO JOAO 2KG";"800";"1.087,000";"8.895,93";"8.895,93"
"760";"ACUCAR CRISTAL SAO JOAO 2KG";"810";"4,000";"32,76";"32,76"
"763";"ACUCAR CRISTAL SAO JOAO 5KG";"800";"847,000";"15.879,27";"15.879,27"
"777";"ACUCAR CRISTAL UNIAO ORGAN 1KG";"800";"2,000";"13,38";"13,38"
"12233";"ACUCAR DEMERARA GASPARIN 1KG";"800";"673,000";"3.954,95";"3.954,95"
"2974";"ACUCAR DEMERARA UNIAO 1KG";"800";"428,000";"2.820,52";"2.820,52"
"3041";"ACUCAR MAGRO LIGHT 400G";"800";"95,000";"1.336,33";"1.336,33"
"3049";"ACUCAR MAGRO LIGHT C STEVIA 400G";"800";"58,000";"1.041,81";"1.041,81"
"2991";"ACUCAR MASCAVO CBS 500G";"800";"177,000";"1.343,43";"1.343,43"
"33213";"ACUCAR MASCAVO GASPARIN 1KG";"800";"293,000";"2.927,07";"2.927,07"
"35707";"ACUCAR MASCAVO GASPARIN 500G";"800";"10,000";"50,90";"50,90"
"2982";"ACUCAR MASCAVO ST ANTONIO 500G";"800";"172,000";"1.494,68";"1.494,68"
"2986";"ACUCAR MASCAVO STO ANTONIO 400G ORGANICO";"800";"116,000";"1.077,64";"1.077,64"
"12237";"ACUCAR REFINADO GASPARIN 1KG";"800";"4.087,000";"16.697,33";"15.571,53"
"36652";"ACUCAREIRO WELLMIX PLAST WX7097";"800";"1,000";"22,99";"22,99"
"33463";"ADITIVO RADIADOR BARDAHL 1L";"800";"26,000";"389,74";"389,74"
"33972";"ADITIVO RADIADOR MIL MILHAS 1L RS";"800";"69,000";"574,51";"574,51"
"12254";"ADITIVO RADIADOR TECBRIL 1L AZL";"800";"44,000";"492,36";"492,36"
"12255";"ADITIVO RADIADOR TECBRIL 1L RSA";"800";"29,000";"510,11";"510,11"
"12256";"ADITIVO RADIADOR TECBRIL 1L RSA";"800";"95,000";"1.063,05";"1.063,05"
"12257";"ADITIVO RADIADOR TECBRIL 1L VDE";"800";"25,000";"279,75";"279,75"
"36404";"ADITIVO RADIADOR TECBRIL MONT 1L";"800";"12,000";"202,68";"185,58"
"36820";"ADITIVO RADIADOR TECBRIL MONT 1L AZ";"800";"3,000";"29,97";"29,97"
"2996";"ADOCANTE ADOCYL 100ML";"800";"591,000";"3.126,39";"3.126,39"
"3019";"ADOCANTE ADOCYL 200ML";"800";"294,000";"2.878,26";"2.878,26"
"3029";"ADOCANTE ADOCYL STEVIA 80ML";"800";"32,000";"319,68";"319,68"
"3001";"ADOCANTE LOWCUCAR DIET 100ML TRAD";"800";"100,000";"559,00";"559,00"
"3010";"ADOCANTE LOWCUCAR DIET 200ML TRAD";"800";"53,000";"561,27";"557,27"
"3004";"ADOCANTE LOWCUCAR MAGRO DIET 100ML";"800";"111,000";"664,89";"664,89"
"3052";"ADOCANTE LOWCUCAR SOSTEVIA 65ML";"800";"41,000";"1.057,39";"1.057,39"
"3016";"ADOCANTE MAGRO 200ML";"800";"83,000";"862,00";"862,00"
"3021";"ADOCANTE MAGRO DIET C STEVIA 65ML";"800";"60,000";"617,40";"617,40"
"3013";"ADOCANTE MAGRO DIET SUCRALOSE 65ML";"800";"59,000";"578,01";"578,01"
"3024";"ADOCANTE ZERO CAL 100ML";"800";"272,000";"2.590,58";"2.590,58"
"3046";"ADOCANTE ZERO CAL 200ML";"800";"173,000";"2.835,47";"2.833,57"
"8805";"AERO JIMO MATA BARATAS 300ML";"800";"22,000";"404,80";"404,80"
"12269";"AFIADOR FACAS SILVER";"800";"5,000";"59,95";"59,95"
"10509";"AGRIAO EMB ";"800";"32,000";"144,00";"144,00"
"10510";"AGRIAO HIDROPON EST DA FIGUEIRA";"800";"384,000";"1.647,36";"1.647,36"
"10508";"AGRIAO UN";"800";"2,000";"9,98";"9,98"
"3938";"AGUA COCO DUCOCO TP 1L";"800";"58,000";"985,42";"985,42"
"952";"AGUA COCO DUCOCO TP 200ML";"800";"194,000";"883,28";"883,28"
"954";"AGUA COCO KERO COCO TP 1L";"800";"135,000";"2.564,20";"2.564,20"
"956";"AGUA COCO KERO COCO TP 200ML";"800";"153,000";"510,95";"480,15"
"12272";"AGUA COLONIA POMPOM 100G";"800";"21,000";"209,79";"209,79"
"59";"AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA";"800";"307,000";"995,29";"946,65"
"60";"AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO";"800";"356,000";"1.153,64";"1.056,98"
"62";"AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA";"800";"163,000";"528,17";"502,07"
"57";"AGUA GASEIFICADA CRYSTAL PET 510ML SPARK";"800";"100,000";"323,54";"305,80"
"3939";"AGUA MICELAR DIHELLEN 150ML ";"800";"1,000";"16,90";"16,90"
"3940";"AGUA MICELAR LOREAL 200ML HIALURON";"800";"1,000";"61,69";"61,69"
"12";"AGUA MIN AGUA DA PEDRA PET 1 5L S GAS";"800";"321,000";"1.282,39";"1.282,39"
"13";"AGUA MIN CRYSTAL PET 1 5L C GAS";"800";"789,000";"3.410,55";"3.333,57"
"16";"AGUA MIN CRYSTAL PET 1 5L S GAS";"800";"1.033,000";"4.611,73";"4.541,91"
"36";"AGUA MIN CRYSTAL PET 500ML C GAS";"800";"6.331,000";"12.557,99";"12.340,69"
"43";"AGUA MIN CRYSTAL PET 500ML S GAS";"800";"6.222,000";"11.709,88";"11.602,38"
"51";"AGUA MIN CRYSTAL PET 5L S GAS";"800";"516,000";"4.822,44";"4.822,44"
"54";"AGUA MIN DA PEDRA LT 350ML ABACAXI E HORTE";"800";"87,000";"261,63";"261,63"
"12273";"AGUA MIN DA PEDRA LT 350ML BER CAPIM LIM";"800";"64,000";"194,06";"194,06"
"12274";"AGUA MIN DA PEDRA LT 350ML BLUEBER LIM";"800";"87,000";"263,43";"263,43"
"55";"AGUA MIN DA PEDRA LT 350ML FTAS VRM";"800";"66,000";"199,44";"199,44"
"56";"AGUA MIN DA PEDRA LT 350ML LIM E ALE";"800";"84,000";"253,48";"253,48"
"12275";"AGUA MIN DA PEDRA LT 350ML PESSEGO";"800";"109,000";"330,41";"330,41"
"25";"AGUA MIN DA PEDRA PET 2L C GAS";"800";"385,000";"2.125,05";"2.125,05"
"66";"AGUA MIN DA PEDRA PET 350ML C GAS";"800";"202,000";"364,88";"364,88"
"67";"AGUA MIN DA PEDRA PET 350ML S GAS";"800";"151,000";"255,19";"255,19"
"34";"AGUA MIN DA PEDRA PET 500ML C GAS";"800";"5.017,000";"8.993,23";"8.993,23"
"35";"AGUA MIN DA PEDRA PET 500ML S GAS";"800";"3.638,000";"6.151,22";"6.151,22"
"50";"AGUA MIN DA PEDRA PET 5L S GAS";"800";"1.237,000";"9.644,23";"9.644,23"
"68";"AGUA MIN FLORESTA ATIVA SQ 710ML S GAS";"800";"60,000";"348,20";"348,20"
"48";"AGUA MIN FLORESTA PET 500ML C GAS";"800";"131.156,000";"129.676,06";"115.568,40"
"49";"AGUA MIN FLORESTA PET 500ML S GAS";"800";"68.030,000";"64.877,30";"59.550,92"
"52";"AGUA MIN FLORESTA PET 5L S GAS";"800";"3.309,000";"19.264,41";"19.263,11"
"37956";"AGUA MIN FONTE DA MATA 500ML C GAS";"800";"4.993,000";"4.943,07";"4.943,07"
"53";"AGUA MIN SARANDI 5L S GAS";"800";"705,000";"4.253,25";"4.253,24"
"74";"AGUA MIN SARANDI CP 200ML S GAS";"800";"257,000";"229,99";"229,99"
"73";"AGUA MIN SARANDI FITTING PET 510ML S GAS";"800";"67,000";"259,13";"259,13"
"32";"AGUA MIN SARANDI PET 2L C GAS";"800";"757,000";"3.629,41";"3.629,41"
"33";"AGUA MIN SARANDI PET 2L S GAS";"800";"645,000";"2.896,31";"2.896,31"
"12278";"AGUA OXIG BUTTERF 20V 100ML";"800";"39,000";"146,63";"146,63"
"12279";"AGUA OXIG BUTTERF 30V 100ML";"800";"45,000";"185,25";"185,25"
"12280";"AGUA OXIG BUTTERF 40V 100ML";"800";"87,000";"358,63";"358,63"
"6828";"AGUA SABORIZ H2OH 500ML LIMONETO";"800";"511,000";"2.502,55";"2.389,57"
"14";"AGUA SABORIZ H2OH PET 1 5L LIMAO";"800";"278,000";"2.409,08";"2.365,13"
"15";"AGUA SABORIZ H2OH PET 1 5L LIMONETO";"800";"263,000";"2.254,52";"2.187,68"
"78";"AGUA SABORIZ H2OH PET 500ML LIMAO";"800";"373,000";"1.830,89";"1.731,63"
"8806";"AGUA SANIT GIRANDO SOL 2L";"800";"683,000";"4.231,27";"4.231,27"
"3948";"AGUA SANIT GOTA LIMPA 1L";"800";"2.334,000";"10.246,26";"10.246,26"
"12288";"AGUA SANIT GOTA LIMPA 2L";"800";"1,000";"5,25";"5,25"
"12289";"AGUA SANIT IMPERIAL 1L";"800";"826,000";"2.307,74";"2.307,74"
"12290";"AGUA SANIT IMPERIAL 2L";"800";"165,000";"1.103,85";"1.103,85"
"12291";"AGUA SANIT IMPERIAL 5L";"800";"506,000";"5.179,44";"4.880,44"
"3950";"AGUA SANIT Q BOA 1L";"800";"847,000";"4.972,65";"4.972,65"
"3951";"AGUA SANIT Q BOA 2L";"800";"671,000";"5.813,63";"5.813,63"
"3952";"AGUA SANIT Q BOA 5L";"800";"405,000";"7.417,90";"7.415,90"
"3953";"AGUA SANIT YPE 1L";"800";"1.108,000";"6.082,92";"6.082,92"
"3953";"AGUA SANIT YPE 1L";"810";"2,000";"10,98";"10,98"
"3954";"AGUA SANIT YPE 2L";"800";"600,000";"5.466,68";"5.466,68"
"3954";"AGUA SANIT YPE 2L";"810";"2,000";"17,98";"17,98"
"12293";"AGUA SANIT ZAVASKI 5L";"800";"523,000";"8.307,17";"8.307,17"
"37433";"AGUA SANITARIA SUPREMA 1 L";"800";"5.128,000";"17.359,50";"16.923,91"
"37437";"AGUA SANITARIA SUPREMA 2 L";"800";"1.881,000";"11.605,29";"10.731,69"
"37429";"AGUA SANITARIA SUPREMA 5 L";"800";"2.632,000";"29.467,98";"27.456,49"
"81";"AGUA TONICA ANTARCTICA LT 350ML";"800";"326,000";"1.236,74";"1.236,74"
"80";"AGUA TONICA ANTARCTICA LT 350ML ZR";"800";"140,000";"531,20";"531,20"
"83";"AGUA TONICA ANTARCTICA PET 1L ZR";"800";"159,000";"1.250,21";"1.250,21"
"82";"AGUA TONICA ANTARTICA PET 1L";"800";"108,000";"844,92";"844,92"
"84";"AGUA TONICA FRUKI LT 350ML";"800";"103,000";"308,13";"308,13"
"18";"AGUA TONICA FRUKI PET 1 5L";"800";"174,000";"1.010,26";"905,08"
"3955";"AGUA TONICA FYS LT 350ML";"800";"43,000";"123,65";"123,65"
"12294";"AGUA TONICA QUININO 1 5L ZERO";"800";"52,000";"316,86";"316,86"
"12295";"AGUA TONICA QUININO 350ML ZERO";"800";"43,000";"137,09";"137,09"
"88";"AGUA TONICA SARANDI LT 350ML";"800";"36,000";"107,96";"107,96"
"871";"AGUA TONICA SCHWEPPES LT 350ML";"800";"203,000";"642,37";"597,87"
"90";"AGUA TONICA SCHWEPPES LT 350ML SA";"800";"149,000";"495,01";"484,21"
"385";"AGUARD 51 965ML";"800";"775,000";"13.295,56";"13.295,56"
"413";"AGUARD KIKANA PET 790ML";"800";"1.947,000";"12.753,39";"12.750,39"
