"Código Produto";"Produto";"Quantidade Disponível"
"36676";"OVO CHOC NESTLE KIT KAT 338 5G";"0,000"
"39012";"PATE FRISKIES GATO 75 G ADULTO ATUM";"26,000"
"39010";"PATE FRISKIES GATO 75 G ADULTO MAR SABO";"25,000"
"39011";"PATE FRISKIES GATO 75 G ADULTO SALMAO";"29,000"
"39008";"PATE FRISKIES GATO 75G ADULTO CARNE";"26,000"
"39007";"PATE FRISKIES GATO 75G FILHOTES ATUM";"29,000"
"39009";"PATE FRISKIES GATO 75G FRANGO";"0,000"
"39003";"RACAO DOG CHOW 900G CAR FGO FRUTA LEITE";"8,000"
"39013";"RACAO DOG CHOW FILH 900G CAR FGO ARROZ";"8,000"
"39014";"RACAO DOG CHOW MULTIPROT AD 900G";"8,000"
"39015";"RACAO DOG CHOW MULTIPROTEINA ADULTO 900G";"0,000"
"39315";"RACAO DOG CHOW SH 100G AD TD TAM CAR";"0,000"
"39319";"RACAO DOG CHOW SH 100G AD TD TAM CORD";"0,000"
"39301";"RACAO DOG CHOW SH 100G AD TD TAM FGO";"0,000"
"39321";"RACAO DOG CHOW SH 100G FILH TD TAM CAR";"0,000"
"3994";"RACAO DOG CHOW SH 85G AD CAR ARROZ";"14,000"
"38368";"RACAO FRISKIES 850G D GRANJA FRANGO";"0,000"
"37478";"RACAO FRISKIES 850G MEGAMIX ADULTO";"0,000"
"38366";"RACAO FRISKIES CARNE ADULTO 850G FRISKIES CARNE";"0,000"
"38367";"RACAO FRISKIES MEGAMIX 850G CASTRADO";"0,000"
"38365";"RACAO FRISKIES MIX CARNE 850G FRISKIE MIX CAR";"0,000"
"38838";"TEMP MAGGI A FRYER MANTEIGA 110G";"30,000"
"38788";"TEMP MAGGI TEMP EMPANA PAPRICA 60G";"12,000"
"38791";"TEMP MAGGI TEMP EMPANA PARMESAO";"0,000"
"38790";"TEMP MAGGI TEMP EMPANA PARMESAO 60G";"0,000"
"3674";"TEMP MAGGI TEMPERO E SABOR 50G CARNES";"2,000"
"";"TOTAL: 131 linhas";"6.743,000"
