CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
5215;CR DEN COLGATE T ACAO XTRA 70G WHITE;17;15318;PODAL IND E COM DE ALIMENTOS LTDA
979;MOSTARDA AMARELA KONSUMO SH 7G 189U;17;2980;KONSUMO INDUSTRIA E COMERCIO LTDA
6867;LIMP M USO VEJA 500ML JOJO MARCA ENVOLV;17;15318;PODAL IND E COM DE ALIMENTOS LTDA
5277;CR DENTAL TANDY 50G UVA;17;15318;PODAL IND E COM DE ALIMENTOS LTDA
3122;MILHO EQUIL SAUDAVEL 100G MOSTARDA MEL;16;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
1533;BISC RECH BAUDUCCO 108G CHOC;16;15497;PANDURATA ALIMENTOS LTDA
7869;SABAO PO TIXAN 800G MACIEZ PRIMAVERA;16;4434;QUIMICA AMPARO LTDA.
405;ENERG ELEV LT 473ML GUAR MARACUJA;16;6424;BEBIDAS FRUKI LTDA
3638;SAL REFINADO APOLO 1KG;16;12954;ROMANI S/A IND E COM DE SAL
76;REFRE PO CLIGHT 8G LARANJA;16;10617;MENON COMERCIO E REPRESENTACOES LTDA
2178;CAPSULA 3C 110G C 10 CHOC CARARAMELL;16;8702;CAFE TRES CORACOES S.A
13615;BOLA FUTEBOL EVOLUTION N5;16;17084;NEW BIG HOOUSE DISTRIBUICAO LOGISTICA LT
12594;ARROZ BCO FINOS GRAOS 5K;16;16999;INDUSTRIA E COMERCIO DE CEREAIS BOM DE GOSTO LTDA
3266;GERGELIM BRANCO EQUIL SAUDAVEL 200G;16;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
3130;CAST CAJU EQUIL SAUDAVEL 100G C SAL;16;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
17387;DET PO APYCE SH 400G ROSA;16;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
33286;AMAC APYCE 5L TRAD AZL;16;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
1383;CHOC BIBS STICKS 32G STIKADINHO;16;6703;VONPAR ALIMENTOS S.A
16;AGUA MIN CRYSTAL PET 1 5L S GAS;16;15441;SPAL IND BRAS BEBIDAS AS
2681;FARINHA MANDIOCA YOKI 500G TORRADA;16;3528;FABIANO ZAFFALON E CIA.
3072;MOLHO ODERICH 220G PARMESAO;16;15520;CONSERVAS ODERICH SA
2921;MOLHO PIMENT TRISANTI 250G SWEET CHILI;16;16989;SANTI INDUSTRIA E COMERCIO LTDA
40;REFRE PO TANG 18G LARANJA MAMAO;15;10617;MENON COMERCIO E REPRESENTACOES LTDA
33259;LEITE PO PARMALAT SH 300G MAX ZERO LACT;15;9379;LACTALIS BRASIL COM IMP EXP LTDA
1907;DOCE ST ANTONIO 140G MOCOTO;15;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
1885;PIRULITO FLORESTAL 400G CORACAO COLORIDO;15;7493;FLORESTAL ALIMENTOS S.A.
3002;AVEIA FLOCOS QUAKER 165G REGULAR;15;10124;PEPSICO DO BRASIL LTDA
661;SUCO KAPO 200ML LARANJA;15;15441;SPAL IND BRAS BEBIDAS AS
1670;WAFER BAUDUCCO 140G MORANGO;15;15497;PANDURATA ALIMENTOS LTDA
942;AZEITE OLIV BORGES EXT VG 500ML;15;15139;CARGIL AGRICOLA S A GOIANI
404;ENERG ELEV LT 473 ML FRUT TROPICAIS;15;6424;BEBIDAS FRUKI LTDA
3584;BEBIDA PARMALAT WHEY 250ML MILHO VERDE;15;9379;LACTALIS BRASIL COM IMP EXP LTDA
20640;MAS NINHO BOM GOSTO SEMOLA 500G;15;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
2264;ARROZ MANINHO INTEG T1 VACUO 500G LONGO;15;3475;COMERCIAL DE CEREAIS MANINHO LTDA
4191;AMAC DOWNY 500ML LIRIOS DO CAMPO;15;6644;ONIZ DISTRIBUID LTDA SCJ
4611;CERV BADEN CRISTAL PILSEN LT 473ML;15;14469;CARLOS CANCIAN E CIA LTDA
15540;CAP DOLCE GUSTO LATTE MACCHIA C 10;15;15134;NESTLE BRASIL LTDA
1606;BISC SALG CLUB SOCIAL 6UN 144G ORIGINAL;15;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
2889;MASSA C OVOS ISABELA 500G ESPAGUETINI;15;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
1731;MARSHMALLOW FINI 250G FLOR;15;12104;SANCHEZ CANO LTDA
3296;CHA REAL MULTIERVAS 15G ERVA DOCE;15;6364;MOINHOS UNIDOS BRASIL MATE S.A
2348;FEIJAO PRETO ARBAZA TP1 1KG;15;14068;ARBAZA ALIMENTOS LTDA
6226;GEL DENT SORRISO FRESH 90G MENTHOL IMPACT;15;15318;PODAL IND E COM DE ALIMENTOS LTDA
2630;DOCE LEITE STA CLARA PT 400G CHOC;15;10421;COOP SANTA CLARA LTDA IND DE LATICINIOS
134;CERV BADEN CRISTAL GF 600ML;15;14469;CARLOS CANCIAN E CIA LTDA
5637;DESOD GLADE 12ML AP TOQ FRESC PROMO LAVANDA;15;6644;ONIZ DISTRIBUID LTDA SCJ
5756;ENX BUC ORAL B 500ML MENTA ZERO ALCOOL;15;6644;ONIZ DISTRIBUID LTDA SCJ
6225;GEL DENT SORRISO FRESH 90G HORTELA;15;15318;PODAL IND E COM DE ALIMENTOS LTDA
7969;SABONETE PROTEX 85G BALANCE;15;15318;PODAL IND E COM DE ALIMENTOS LTDA
13712;BOMBOM NESTLE ESPECIALIDADES 251G;15;15134;NESTLE BRASIL LTDA
568;REPOS POWERADE 500ML LARANJA;14;15441;SPAL IND BRAS BEBIDAS AS
2439;POPCORN YOKI 100G NATURAL;14;3528;FABIANO ZAFFALON E CIA.
9921;ODORIZADOR PROAUTO GEL 60G MORANGO;14;13452;AZ DISTRIBUIDORA E REPRES EIRELI
2733;MOLHO ALHO KITANO 150ML;14;3528;FABIANO ZAFFALON E CIA.
2216;CAPSULA DOLCE GUSTO 100G C 10 CAFE AU LAIT;14;15134;NESTLE BRASIL LTDA
17321;DET LIQ APYCE MULTIACAO 3L AZUL;14;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
1364;BISC CEREALE INTEG 170G CASTANHA;14;15497;PANDURATA ALIMENTOS LTDA
1987;CAPPUCCINO PRONTO 3C 260ML WHEY;14;8702;CAFE TRES CORACOES S.A
1164;BALA TOFFANO 400G TOFFRUT FRAMB;14;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
4218;AMAC YPE 2L INTENSO;14;4434;QUIMICA AMPARO LTDA.
823;REFRIG FRUKI PET 2L UVA;14;6424;BEBIDAS FRUKI LTDA
3746;TEMP KITANO 300G ALHO SAL;14;3528;FABIANO ZAFFALON E CIA.
17320;DET LIQ APYCE LIMP TOT 3L ROSA;14;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
1678;CONFEITO BIBS CHOC BCO 40G;14;6703;VONPAR ALIMENTOS S.A
818;REFRIG FRUKI PET 2L LARANJA;14;6424;BEBIDAS FRUKI LTDA
21038;MOL BARBECUE ODERICH PREMIUM 400G;14;15520;CONSERVAS ODERICH SA
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;14;9638;CRBS AS CDD PELOTAS
339;CHA ICE TEA LEAO PET 1 5L PESSEGO;14;15441;SPAL IND BRAS BEBIDAS AS
21734;PAPEL TOALHA NATUREZA FD 2UN;14;18272;INDAIAL PAPEL EMBALAGENS LTDA
2507;KETCHUP HELLMANNS BISN 380G PICANTE;14;17017;ZAFFALON E CIA LTDA
2053;CHA MULTIERVAS REAL 10G HORTELA;14;6364;MOINHOS UNIDOS BRASIL MATE S.A
3460;SOPAO KITANO 196G CARNE;14;3528;FABIANO ZAFFALON E CIA.
813;REFRIGC COLA FRUKI PET 2 L COLA;14;6424;BEBIDAS FRUKI LTDA
1679;CONFEITO BIBS PASSAS 40G;14;6703;VONPAR ALIMENTOS S.A
1932;RAPAD STO ANTONIO 200G LEITE;14;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
2485;DOCE DIFRUTTI 400G UVA;14;12457;INDUSTRIA MIRIAM LTDA
33250;AMEND YOKI DESC SALG 350G;14;3528;FABIANO ZAFFALON E CIA.
4359;INATIVO BEB 3 CORACOES 1L AST;14;8702;CAFE TRES CORACOES S.A
6725;LAVA ROUPA OMO 7L LAVAGEM PERFEITA;14;17017;ZAFFALON E CIA LTDA
12291;AGUA SANIT IMPERIAL 5L;14;5695;SABAO IMPERIAL LTDA
321;BEB ADES TP 1L MACA;14;15441;SPAL IND BRAS BEBIDAS AS
2258;ARROZ MANINHO VACUO 500G PRETO;13;3475;COMERCIAL DE CEREAIS MANINHO LTDA
5338;CR TRAT PENTEAR VINI LADY 900G ABACATE E TAMAR;13;6857;SGM INDUSTRIA DE COSMETICOS LTDA
3275;SALG KLAIN CROCANTE 100G CHURRASCO;13;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
24637;TCO BAN SECO GENIAL PET 100G;13;14683;GENIAL QUIMICA VETERINARIA
412;ENERG ELEV PET 2L ORIGINAL;13;6424;BEBIDAS FRUKI LTDA
37406;BOMBOM LACTA OREO 540G;13;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
36263;DET PO APYCE MULT AZUL SH 800G;13;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
1282;CHOC BARRA LACTA AO LEITE 80G;13;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
2307;ATUM RALADO NAUTIQUE 170G EM OLEO;13;4083;SMG INDUSTRIAL LTDA
369;REFRE FRUKITO PET 2L LIMAO;13;6424;BEBIDAS FRUKI LTDA
2482;DOCE DIFRUTTI 400G MORANGO;13;12457;INDUSTRIA MIRIAM LTDA
8611;TINT COR E TON LOURO CL 8 0;13;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA
2405;PALMITO MUCHO GUSTO VD 300G PICADO PALMEIRA REAL;13;13490;IMPORT FOODS COMERCIAL E IMPORTADORA LTD
2685;FARINHA MILHO SINHA 1KG MEDIA;13;15400;CARAMURU ALIMENTOS LTDA.
3009;MOLHO SALADA KISABOR PET 240ML LIMAO;13;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
1630;BOLO BAUDUCCO 40G BAUN MORANGO;13;5471;PANDURATA ALIMENTOS LTDA
1824;MARIOLA STO ANTONIO 145G ZERO;13;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
1554;BISC SALG SALKIM 90G CHURRASCO;13;8565;SAGRA INDE COM DE PROD ALIM LTDA
21698;PAPEL HIG STYLUS FD 24 UN DE 20M NEUTRO;13;12839;SEPAC-SERRADOS E PASTA DE CELULOSE LTDA.
3359;SALG YOKITOS CONCHINHA 153G PRESUNTO;13;3528;FABIANO ZAFFALON E CIA.
408;ENERG ELEV LT 473 ML ZERO;13;6424;BEBIDAS FRUKI LTDA
1496;BISC RECH TRAKINAS 126G MORANGO;13;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
21053;MOLHO P SAL LIZA 234ML LIMAO;13;15139;CARGIL AGRICOLA S A GOIANI
1005;BATATA PALHA NA MESA EXTRA FINA 90G;13;10124;PEPSICO DO BRASIL LTDA
998;PALM M GUSTO PICADO VD 1 8KG;13;13490;IMPORT FOODS COMERCIAL E IMPORTADORA LTD
1807;CHICLE CLISS 280G HORTELA;13;7493;FLORESTAL ALIMENTOS S.A.
879;MILHO VERDE ODERICH LT 2KG;12;15520;CONSERVAS ODERICH SA
2126;CHA REAL MULTIERVAS 15G DETOX;12;6364;MOINHOS UNIDOS BRASIL MATE S.A
664;SUCO KAPO 200ML UVA;12;15441;SPAL IND BRAS BEBIDAS AS
3112;MILHO TORR SALG EQUIL SAUDAVEL 100G;12;7774;TERRA SANTA ALIMENTOS LTDA
406;ENERG ELEV LT 473ML MACA VERDE;12;6424;BEBIDAS FRUKI LTDA
3081;MOLHO ODERICH 220G CEBOLA CARAMELI;12;15520;CONSERVAS ODERICH SA
5485;DESINF VIM 700ML CLORO GEL ADITIV LAVANDA;12;17017;ZAFFALON E CIA LTDA
937;EXT TOM ELEFANTE TP 1 04KG;12;15139;CARGIL AGRICOLA S A GOIANI
3672;TEMP KITANO MANJERICAO DESID 7G;12;3528;FABIANO ZAFFALON E CIA.
33292;CAPSULA TRES CORACOES C10 NAPOLITANO;12;8702;CAFE TRES CORACOES S.A
13102;BAT PALHA BIG MAIS SUPER CROC 1K;12;5196;LUCAS IND E COM DE GENEROS ALIMENTICIOS
18773;FRALDA DESC PAMPERS PANTS C 36 G;12;6644;ONIZ DISTRIBUID LTDA SCJ
407;ENERG ELEV LT 473 ML ORIGINAL;12;6424;BEBIDAS FRUKI LTDA
1915;RAPAD STO ANTONIO 200G AMENDOIM;12;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
2879;MASSA C OVOS ISABELA 500G ESPAGUETE;12;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
1200;BALA GOMA FINI GELATINA 250G AMORA;12;12104;SANCHEZ CANO LTDA
831;REFRIG SPRITE ZERO PET 2L;12;15441;SPAL IND BRAS BEBIDAS AS
3938;AGUA COCO DUCOCO TP 1L;12;3380;NLS ALIMENTOS LTDA
2189;CAPSULA 3C 80G C 10 ESPRESSO SUPREMO;12;8702;CAFE TRES CORACOES S.A
519;ENERG RED BULL LT 250ML MELANCIA;12;15318;PODAL IND E COM DE ALIMENTOS LTDA
1993;DOCE N BONN BIG 1 2KG ABOBORA;12;3818;ALIMENTOS N BONN LTDA
3760;TEMP TOQUE CHEF 120G GRELHADOS;12;3528;FABIANO ZAFFALON E CIA.
1983;CAPPUCCINO PRONTO 3C 260ML CLASSIC;12;8702;CAFE TRES CORACOES S.A
18346;EXT TOM ELEFANTE 300G CAR PAN;12;15139;CARGIL AGRICOLA S A GOIANI
1325;PAO DE MEL BAUDUCCO ESP CHOC 180G;12;15497;PANDURATA ALIMENTOS LTDA
2815;MAIONESE ODERICH PRE 220G AZEITONAS VERDE;12;15520;CONSERVAS ODERICH SA
2392;FEIJAO VERMELHO ODERICH LT 420G;12;15520;CONSERVAS ODERICH SA
1523;CHOC KI KAKAU 680G BOLIBOL PT;12;4591;KI-KAKAU IND E COM DE CHOCOLATES LTDA
1961;RAPAD STO ANTONIO 180G PE DE MOCA;12;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
656;SUCO DEL VALLE FRUT TP 1L UVA;12;15441;SPAL IND BRAS BEBIDAS AS
326;BEB ADES TP 200ML MACA;12;15441;SPAL IND BRAS BEBIDAS AS
1448;CHOC TABLETE 1891 90G 55 CACAU AVELA;12;6703;VONPAR ALIMENTOS S.A
1582;COBERT NESTLE 1KG MEIO AMARGO;12;15134;NESTLE BRASIL LTDA
4610;CERV BADEN IPA LT 473ML;12;14469;CARLOS CANCIAN E CIA LTDA
3373;CALDO MAGGI 57G CARNE;12;15134;NESTLE BRASIL LTDA
7220;ODORIZANTE PROAUTO 60G GEL LAVANDA;12;13452;AZ DISTRIBUIDORA E REPRES EIRELI
2769;FAROFA MANDIOCA DOBA 250G TEMPERADA TRADICIONAL;12;4621;PRODUTOS DE MANDIOCA SAO PAULO LTDA
1521;CHOC KINDER OVO T2 LEI GABBYS 40G;12;15318;PODAL IND E COM DE ALIMENTOS LTDA
402;ENERG ELEV LT 269ML ZERO;12;6424;BEBIDAS FRUKI LTDA
2537;DOCE DIFRUTTI 1 010KG PESSEGO;12;12457;INDUSTRIA MIRIAM LTDA
3299;SALG REDINHA YOKITOS 45G QUEIJO;12;3528;FABIANO ZAFFALON E CIA.
662;SUCO KAPO 200ML MACA;11;15441;SPAL IND BRAS BEBIDAS AS
9092;DESINF PATO CLORO GEL ESPUMA 500ML MARINE;11;6644;ONIZ DISTRIBUID LTDA SCJ
2698;KIMILHO YOKI 500G FLOCAO;11;3528;FABIANO ZAFFALON E CIA.
1982;CAPUCCINO PRONTO 3C 260ML PINGADO;11;8702;CAFE TRES CORACOES S.A
36353;MIX GRAOS CALDO BOM COMPLETO 500G;11;13375;STIVAL ALIMENTOS INDUSTRIA E COMERCIO
12381;ALVEJ AQUAFAST 5L S CLORO;11;3947;AQUAFAST PROD LIMPEZA/HIGIENE LTDA
23361;SALG JUMBITOS REQ 55G;11;4879;SEMALO IND E COMERCIO ALIMENTOS LTDA
3611;TEMP BAIANO KITANO 40G;11;3528;FABIANO ZAFFALON E CIA.
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;11;6424;BEBIDAS FRUKI LTDA
18076;ESMALTE IMPALA 7 5ML PROSA;11;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
8354;SH SEDA 670ML LV PG CACHOS DEFINID;11;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
17094;DEO COLONIA GENIAL PET 110ML BABY;11;14683;GENIAL QUIMICA VETERINARIA
2184;CAPSULA 3C 80G C 10 ESPRESSO VIBRANTE;11;8702;CAFE TRES CORACOES S.A
1190;BALA TOFFANO 600G MORANGO;11;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
13264;BIFINHO PRO BONE 65G CHUR;11;14361;BONE DEMAIS IND E COM DE ART P ANIMAIS L
126;CERV POLAR PILSEN GF 300ML RETORNAVEL;11;9638;CRBS AS CDD PELOTAS
1424;CHOC BIS XTRA AO LEITE ORIGINAL 45G;11;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
2458;PEPINO CONS ODERICH VD 300G AGRIDOCE;11;15520;CONSERVAS ODERICH SA
1889;PIRULITO TOFFANO FUNNY GUT 600G FRUTAS;11;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
2793;FAROFA CASEIRISSIMA YOKI 200G CEBOLA;11;3528;FABIANO ZAFFALON E CIA.
2266;CAPSULA DOLCE GUSTO 170G C 10 CAPP DOCE LEITE;11;15134;NESTLE BRASIL LTDA
15523;CAP DOLCE GUSTO CAPPU MOCA BR C 10;11;15134;NESTLE BRASIL LTDA
3080;FARINHA AVEIA YOKI 170G;11;3528;FABIANO ZAFFALON E CIA.
2493;KETCHUP ODERICH BISN 200G PICANTE;11;15520;CONSERVAS ODERICH SA
35715;FEIJAO JALO CALDO BOM 500G SEL ESP;11;13375;STIVAL ALIMENTOS INDUSTRIA E COMERCIO
3651;LEITE COCO DUCOCO VD 200ML;11;3380;NLS ALIMENTOS LTDA
23358;SALG JUMBITOS CHUR 55G;11;4879;SEMALO IND E COMERCIO ALIMENTOS LTDA
3188;SALG KLAIN BACON CROCANTE 100G;11;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3037;CEREAL MAT NESTLE CX 210G NESCAU;11;15134;NESTLE BRASIL LTDA
21497;PALITO FLEX BONE DEMAIS 35G;11;14361;BONE DEMAIS IND E COM DE ART P ANIMAIS L
3710;TEMP KITANO MAIS SABOR 60G MASSAS;11;3528;FABIANO ZAFFALON E CIA.
1540;BISC RECH OREO 90G BAUNILHA;10;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
20839;MINI COXA BONE DEMAIS 50G C/2;10;14361;BONE DEMAIS IND E COM DE ART P ANIMAIS L
548;GATORADE 500ML UVA;10;9638;CRBS AS CDD PELOTAS
2533;DOCE DIFRUTTI 1 010KG FIGO;10;12457;INDUSTRIA MIRIAM LTDA
1717;MARSHMALLOW FINI 80G CORACAO;10;12104;SANCHEZ CANO LTDA
1003;BATATA PALHA NA MESA TRAD 100G;10;10124;PEPSICO DO BRASIL LTDA
808;CHOC PO TRISANTI 50 CACAU 1 005KG;10;16989;SANTI INDUSTRIA E COMERCIO LTDA
5014;COND PALMOLIVE 350ML OLEO SURPREEND;10;15318;PODAL IND E COM DE ALIMENTOS LTDA
1627;BOLO BAUDUCCO 40G BAUNILHA CHOC;10;5471;PANDURATA ALIMENTOS LTDA
3612;TEMP PIMENTA PTA PO KITANO 50G;10;3528;FABIANO ZAFFALON E CIA.
1163;BALA TOFFANO 400G MORANGO;10;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
13265;BIFINHO PRO BONE 65G FGO;10;14361;BONE DEMAIS IND E COM DE ART P ANIMAIS L
3349;SALG DORITOS 120G QUEIJO NACHO;10;10124;PEPSICO DO BRASIL LTDA
5639;DESOD GLADE 12ML AP TOQ FRESC LEMBR INFANCIA;10;6644;ONIZ DISTRIBUID LTDA SCJ
15505;CAP 3 CORACOES CHA CAMOMILA C 10;10;8702;CAFE TRES CORACOES S.A
21495;PALITO BONE DEMAIS COL 85G;10;14361;BONE DEMAIS IND E COM DE ART P ANIMAIS L
6129;FRALDA CONFORTSEC PAMPERS M 44UN;10;6644;ONIZ DISTRIBUID LTDA SCJ
18763;FRALDA DESC MILI GIGA M C 88 C 88 M;10;10190;MILI S/A
6126;FRALDA CONFORTSEC PAMPERS G 38UN;10;6644;ONIZ DISTRIBUID LTDA SCJ
18942;GEL AMAZONIA ARNICA 235G;10;8425;AMAZONIA BRASIL COSMETICOS LTDA
2050;ARROZ ARBOREO MANINHO 1KG;10;3475;COMERCIAL DE CEREAIS MANINHO LTDA
2200;ARROZ INTEG MANINHO 1KG;10;3475;COMERCIAL DE CEREAIS MANINHO LTDA
239;VH DEL GRANO GOLD TINTO 750ML SC;10;16728;BASSO VINHOS E ESPUMANTES LTDA
33949;PAPEL HIG SIRIUS PREMIER FD 20M C32;10;17035;ESTRELA INDUSTRIA DE PAPEL LTDA
21700;PAPEL HIG SULINO NEUTRO FS 30M C 4;10;11038;ASTORIA PAPEIS LTDA FILIAL
280;CERV ITAIPAVA MALZBIER LN 330ML;10;5391;CERVEJARIA PETROPOLIS S/A
3311;SALG ONDA CHEETOS 40G REQUEIJAO;10;10124;PEPSICO DO BRASIL LTDA
114;CERV POLAR EXPORT GF 1L RETORNAVEL;10;9638;CRBS AS CDD PELOTAS
872;MAIONESE ODERICH BD 3KG;10;15520;CONSERVAS ODERICH SA
22717;RAC GOOD FRIENDS CLASSICO 7K;10;6031;BRAZILIAN PET FOODS S/A
1687;CONFEITO DISQUETI 100G CHOC BRANCO;10;8539;DORI IND COM PROD ALIM LTDA
3308;SALG FANDANGOS 35G QUEIJO;10;10124;PEPSICO DO BRASIL LTDA
3836;GELADINHO AMERICANO 40UN;10;11293;BUSCHLE ALIMENTOS
4189;AMAC DOWNY CONC 500ML BRISA SUAVE;10;6644;ONIZ DISTRIBUID LTDA SCJ
3254;SALG YOKITOS 54G ANEIS CEBOLA;10;3528;FABIANO ZAFFALON E CIA.
1821;MARIOLA STO ANTONIO 380G;10;9694;D.S.A.INDUSTRIA E COMERCIO LTDA
8042;SAPONACEO CREM CIF L250P200 BCO;10;6800;MENON DIST. ATACADISTA
5698;DETERG YPE 500ML LIMAO;10;4434;QUIMICA AMPARO LTDA.
3744;TEMP KITANO COMP 300G S PIMENTA;10;3528;FABIANO ZAFFALON E CIA.
3106;FARINHA DE CHIA EQUIL SAUDAVEL 200G;10;9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI
3887;ABS C ABAS ALWAYS 8UN NOTURNO SUAVE;9;6644;ONIZ DISTRIBUID LTDA SCJ
12294;AGUA TONICA QUININO 1 5L ZERO;9;6424;BEBIDAS FRUKI LTDA
403;ENERG ELEV LT 473 ML ACAI COCO;9;6424;BEBIDAS FRUKI LTDA
12273;AGUA MIN DA PEDRA LT 350ML BER CAPIM LIM;9;6424;BEBIDAS FRUKI LTDA
2183;CAPSULA 3C 80G C 10 ESPRESSO AMENO;9;8702;CAFE TRES CORACOES S.A
3682;MIST LACTEA COND TRIANGULO TP 395G;9;4959;DOCE MINEIRO LTDA
34748;ENERG ELEV PET 2L ZR PINK LEMON;9;6424;BEBIDAS FRUKI LTDA
18800;FRALDA GERIATRICA BIGFRAL CLASS C 7 XG;9;3266;NILO TOZZO DISTRIBUIDORA LTDA
2601;MOLHO TOM POMAROLA SH 300G CASEIRO CLASSICO;9;15139;CARGIL AGRICOLA S A GOIANI
575;ENERG HIPERTENSAO PET 2L ZERO;9;12144;SOPPELL IND E COM BEBIDAS EIRELI
33778;CREME DEN COLGATE 90G ORIG MINT;9;15318;PODAL IND E COM DE ALIMENTOS LTDA
743;REFRIG FRUKI PET 1 5L GUARANA;9;6424;BEBIDAS FRUKI LTDA
2959;ACHOC PO TODDY SH 1 8KG MAIS ECONOMICA;9;10124;PEPSICO DO BRASIL LTDA
18503;FESTIVAL CX TRAMA PLASUTIL REF13835;9;9973;PLASUTIL IND.COM.DE PLASTICOS LTDA
781;REFRIG SUKITA PET 200ML;9;9638;CRBS AS CDD PELOTAS
817;REFRIG FRUKI GUARANA ZR PET 2L GUARANA ZERO;9;6424;BEBIDAS FRUKI LTDA
15756;CERV HEINEKEN FULLY LN 250ML;9;14469;CARLOS CANCIAN E CIA LTDA
1415;BISC MAIZENA ISABELA 350G;9;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
2257;CAPSULA 3C 50G C 10 MOGIANA PAULIST;9;8702;CAFE TRES CORACOES S.A
361;CERV PATAGONIA WEISSE LT 473ML;9;9638;CRBS AS CDD PELOTAS
20086;LENCO UMED GENIAL PET FEMEAS;9;14683;GENIAL QUIMICA VETERINARIA
3291;SALG FANDANGOS 35G PRESUNTO;9;10124;PEPSICO DO BRASIL LTDA
606;SUCO DEL VALLE TP 1L MANGA;9;15441;SPAL IND BRAS BEBIDAS AS
7358;PAPEL HIG MILI NEUTRO FHA DPL 30M 12UN;9;10190;MILI S/A
12178;ABS COTTONBABY SUAVE C ABAS C 8;9;6567;HIGIE-PLUS INDUSTRIA E COM.LTDA
34749;CERV BELLAVISTA LT 350ML ZERO;9;6424;BEBIDAS FRUKI LTDA
21052;MOL P SAL CASEIRO 234ML;9;15139;CARGIL AGRICOLA S A GOIANI
639;SUCO DEL VALLE LT 290ML UVA;9;15441;SPAL IND BRAS BEBIDAS AS
3292;SALG FANDANGOS 160G PRESUNTO;9;10124;PEPSICO DO BRASIL LTDA
5426;DESENG VEJA SQZ LV500PG400ML LAVANDA;9;15318;PODAL IND E COM DE ALIMENTOS LTDA
1657;WAFFER ISABELA 100G DOCE DE LEITE;9;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
3845;EXT TOM ELEFANTE LT 300G CEBOLA E ALHO;9;15139;CARGIL AGRICOLA S A GOIANI
1392;BISC NESFIT INTEG 160G MORANGO CEREAIS;9;15134;NESTLE BRASIL LTDA
2251;ABACAXI ODERICH 400G RODELAS;8;1001;CONSERVAS ODERICH SA
556;REPOS ENGOV AFTER 250ML CITRUS;8;9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA
2490;DOCE DIFRUTTI 400G FIGO;8;12457;INDUSTRIA MIRIAM LTDA
2072;CAFE SOL NESCAFE LT 300G C LEITE;8;15134;NESTLE BRASIL LTDA
12393;AMACIANTE AQUAFAST 2L MANHA AZ;8;3947;AQUAFAST PROD LIMPEZA/HIGIENE LTDA
2761;FARINHA TRIGO MARIA INES 5KG PIZZA;8;6560;ANTONIAZZI & CIA LTDA
570;REPOS POWERADE 500ML MIX;8;15441;SPAL IND BRAS BEBIDAS AS
56;AGUA MIN DA PEDRA LT 350ML LIM E ALE;8;6424;BEBIDAS FRUKI LTDA
2479;ERVA MATE ALVORADA 500G;8;14480;HOPPEN HOPPEN E CIA LTDA
2945;MOLHO PIMENTA TRISANTI 225G CREMOSO;8;16989;SANTI INDUSTRIA E COMERCIO LTDA
1660;WAFFER ISABELA 100G LIMAO;8;7995;M DIAS BRANCO S.A IND E COM DE ALIMENTOS
5693;DETERG YPE 500ML CAPIM LIMAO;8;4434;QUIMICA AMPARO LTDA.
