SEQFAMILIA;SEQCATEGORIA;NRODIVISAO;STATUS;INDREPLICACAO;INDGEROUREPLICACAO;DTABASEEXPORTACAO;NROBASEEXPORTACAO;DATAHORAALTERACAO;DATAHORAINTEGRAECOMMERCE;USUARIOALTERACAO;SEQCORRESPONDENCIA;NROBASEEXPORTACAOERP
163;3;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;4;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;5;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;6;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
164;1;1;I;S;;2024-10-19-10.23.39.000000;1997678;2024-10-19-10.23.39.000000;;LUSENA;;
164;2;1;I;S;;2024-10-19-10.23.39.000000;1997678;2024-10-19-10.23.39.000000;;LUSENA;;
164;3;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;4;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;5;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;6;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
165;3;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;4;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;5;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;6;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
173;2120;1;I;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2119;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2118;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2117;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2114;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
167;2120;1;I;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2119;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2118;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2117;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2114;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
172;2120;1;I;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2119;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2118;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2117;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2114;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
166;2120;1;I;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2119;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2118;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2117;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2114;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
171;2120;1;I;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
171;2119;1;I;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
171;2118;1;A;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
171;2117;1;A;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
171;2114;1;A;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
173;2163;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
175;2114;1;A;S;;2026-01-22-15.47.22.000000;5180007;2026-01-22-15.47.22.000000;;CVELOSO;;0
166;2162;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2162;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
171;2162;1;I;S;;2025-08-15-16.30.59.000000;4812384;2025-08-15-16.30.59.000000;;IGORNAT;;
172;2164;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
178;2166;1;A;S;;2024-09-19-09.17.07.000000;1484288;2024-09-19-09.17.07.000000;;CARIOS;;
178;2119;1;A;S;;2024-09-19-09.17.07.000000;1484288;2024-09-19-09.17.07.000000;;CARIOS;;
178;2118;1;A;S;;2024-09-19-09.17.07.000000;1484288;2024-09-19-09.17.07.000000;;CARIOS;;
178;2117;1;A;S;;2024-09-19-09.17.07.000000;1484288;2024-09-19-09.17.07.000000;;CARIOS;;
178;2114;1;A;S;;2024-09-19-09.17.07.000000;1484288;2024-09-19-09.17.07.000000;;CARIOS;;
26;2179;1;A;S;;2024-09-18-17.23.11.000000;1472970;2024-09-18-17.23.11.000000;;LUSENA;;
26;2128;1;A;S;;2024-09-18-17.23.11.000000;1472970;2024-09-18-17.23.11.000000;;LUSENA;;
26;2118;1;A;S;;2024-09-18-17.23.11.000000;1472970;2024-09-18-17.23.11.000000;;LUSENA;;
26;2117;1;A;S;;2024-09-18-17.23.11.000000;1472970;2024-09-18-17.23.11.000000;;LUSENA;;
26;2114;1;A;S;;2024-09-18-17.23.11.000000;1472970;2024-09-18-17.23.11.000000;;LUSENA;;
188;1;1;I;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;2;1;I;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;3;1;A;S;;2024-09-21-08.51.04.000000;1518183;2024-09-21-08.51.04.000000;;LUSENA;;
188;4;1;A;S;;2024-09-21-08.51.04.000000;1518183;2024-09-21-08.51.04.000000;;LUSENA;;
188;5;1;A;S;;2024-09-21-08.51.04.000000;1518183;2024-09-21-08.51.04.000000;;LUSENA;;
188;6;1;A;S;;2024-09-21-08.51.04.000000;1518183;2024-09-21-08.51.04.000000;;LUSENA;;
189;1;1;I;S;;2026-06-11-09.21.15.000000;5483025;2026-06-11-09.21.15.000000;;JORSALDA;;0
189;2;1;I;S;;2026-06-11-09.21.15.000000;5483025;2026-06-11-09.21.15.000000;;JORSALDA;;0
189;3;1;A;S;;2024-09-21-08.52.15.000000;1518197;2024-09-21-08.52.15.000000;;CARIOS;;
189;4;1;A;S;;2024-09-21-08.52.15.000000;1518197;2024-09-21-08.52.15.000000;;CARIOS;;
189;5;1;A;S;;2024-09-21-08.52.15.000000;1518197;2024-09-21-08.52.15.000000;;CARIOS;;
189;6;1;A;S;;2024-09-21-08.52.15.000000;1518197;2024-09-21-08.52.15.000000;;CARIOS;;
188;2182;1;A;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;2130;1;A;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;2118;1;A;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;2117;1;A;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
188;2114;1;A;S;;2024-09-21-09.04.59.000000;1518349;2024-09-21-09.04.59.000000;;LUSENA;;
190;1;1;I;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;2;1;I;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;3;1;A;S;;2024-09-21-09.53.42.000000;1518928;2024-09-21-09.53.42.000000;;LUSENA;;
190;4;1;A;S;;2024-09-21-09.53.42.000000;1518928;2024-09-21-09.53.42.000000;;LUSENA;;
190;5;1;A;S;;2024-09-21-09.53.42.000000;1518928;2024-09-21-09.53.42.000000;;LUSENA;;
190;6;1;A;S;;2024-09-21-09.53.42.000000;1518928;2024-09-21-09.53.42.000000;;LUSENA;;
190;2182;1;A;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;2130;1;A;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;2118;1;A;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;2117;1;A;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
190;2114;1;A;S;;2024-09-21-09.59.23.000000;1518996;2024-09-21-09.59.23.000000;;LUSENA;;
191;1;1;I;S;;2025-09-10-09.39.47.000000;4876932;2025-09-10-09.39.47.000000;;IGORNAT;;
191;2;1;I;S;;2025-09-10-09.39.47.000000;4876932;2025-09-10-09.39.47.000000;;IGORNAT;;
191;3;1;A;S;;2024-09-21-10.11.04.000000;1519134;2024-09-21-10.11.04.000000;;CARIOS;;
191;4;1;A;S;;2024-09-21-10.11.04.000000;1519134;2024-09-21-10.11.04.000000;;CARIOS;;
191;5;1;A;S;;2024-09-21-10.11.04.000000;1519134;2024-09-21-10.11.04.000000;;CARIOS;;
191;6;1;A;S;;2024-09-21-10.11.04.000000;1519134;2024-09-21-10.11.04.000000;;CARIOS;;
192;1;1;I;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;2;1;I;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;3;1;A;S;;2024-09-21-10.21.09.000000;1519254;2024-09-21-10.21.09.000000;;LUSENA;;
192;4;1;A;S;;2024-09-21-10.21.09.000000;1519254;2024-09-21-10.21.09.000000;;LUSENA;;
192;5;1;A;S;;2024-09-21-10.21.09.000000;1519254;2024-09-21-10.21.09.000000;;LUSENA;;
192;6;1;A;S;;2024-09-21-10.21.09.000000;1519254;2024-09-21-10.21.09.000000;;LUSENA;;
192;2182;1;A;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;2130;1;A;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;2118;1;A;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;2117;1;A;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
192;2114;1;A;S;;2024-09-21-10.22.03.000000;1519265;2024-09-21-10.22.03.000000;;LUSENA;;
193;1;1;I;S;;2024-09-26-10.51.21.000000;1605096;2024-09-26-10.51.21.000000;;CARIOS;;
193;2;1;I;S;;2024-09-26-10.51.21.000000;1605096;2024-09-26-10.51.21.000000;;CARIOS;;
193;3;1;A;S;;2024-09-21-10.22.43.000000;1519273;2024-09-21-10.22.43.000000;;CARIOS;;
193;4;1;A;S;;2024-09-21-10.22.43.000000;1519273;2024-09-21-10.22.43.000000;;CARIOS;;
193;5;1;A;S;;2024-09-21-10.22.43.000000;1519273;2024-09-21-10.22.43.000000;;CARIOS;;
193;6;1;A;S;;2024-09-21-10.22.43.000000;1519273;2024-09-21-10.22.43.000000;;CARIOS;;
194;1;1;I;S;;2024-09-26-10.51.21.000000;1605096;2024-09-26-10.51.21.000000;;CARIOS;;
194;2;1;I;S;;2024-09-26-10.51.21.000000;1605096;2024-09-26-10.51.21.000000;;CARIOS;;
194;3;1;A;S;;2024-09-21-10.41.48.000000;1519500;2024-09-21-10.41.48.000000;;CARIOS;;
194;4;1;A;S;;2024-09-21-10.41.48.000000;1519500;2024-09-21-10.41.48.000000;;CARIOS;;
194;5;1;A;S;;2024-09-21-10.41.48.000000;1519500;2024-09-21-10.41.48.000000;;CARIOS;;
194;6;1;A;S;;2024-09-21-10.41.48.000000;1519500;2024-09-21-10.41.48.000000;;CARIOS;;
195;1;1;I;S;;2024-09-21-10.49.46.000000;1519595;2024-09-21-10.49.46.000000;;LUSENA;;
195;2;1;I;S;;2024-09-21-10.49.46.000000;1519595;2024-09-21-10.49.46.000000;;LUSENA;;
195;3;1;A;S;;2024-09-21-10.48.53.000000;1519584;2024-09-21-10.48.53.000000;;LUSENA;;
195;4;1;A;S;;2024-09-21-10.48.53.000000;1519584;2024-09-21-10.48.53.000000;;LUSENA;;
195;5;1;A;S;;2024-09-21-10.48.53.000000;1519584;2024-09-21-10.48.53.000000;;LUSENA;;
195;6;1;A;S;;2024-09-21-10.48.53.000000;1519584;2024-09-21-10.48.53.000000;;LUSENA;;
195;2182;1;A;S;;2024-09-21-10.49.46.000000;1519595;2024-09-21-10.49.46.000000;;LUSENA;;
195;2130;1;A;S;;2024-09-21-10.49.46.000000;1519595;2024-09-21-10.49.46.000000;;LUSENA;;
